query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
How are the inertial-measurement structural-notch filters validated using ground-vibration data and in-flight flutter testing to show adequate damping through the required flutter-clearance margin?,2-hop,adaptive,local,none,0,24597,4081,913,4994,STR-020;STR-026;FCC-039;FCC-056;STR-025,FCC-056;STR-020;STR-025;STR-026;FCC-039,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",0.4,0.6667,0.5,0.6667,0.4,5,3,2,2-hop,True
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",2-hop,vanilla,local,none,0,5810,1097,201,1298,ENG-038;ENG-020;FDR-016,ENG-020;FDR-016;INS-039;EPS-020;FUEL-024,5,0,,,,,1.0,1.0,1.0,0.6667,0.4,3,3,2,2-hop,True
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",2-hop,agentic,local,none,0,21481,3697,612,4309,ICE-017;ICE-016,ICE-016;ICE-017;ICE-003;ICE-020;ICE-012,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,2,3,2,2-hop,True
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",2-hop,graphrag,local,none,0,8677,1723,293,2016,ENG-038;ENG-020;FDR-016,ENG-020;FDR-016;INS-039;EPS-020;FUEL-024;FDR-032;FDR-005;FUEL-010;ADS-020;AUTO-031;BIT-036;CDL-029;EMS-031;ENG-013;ENG-014,15,0,,,,,1.0,1.0,1.0,0.6667,0.1333,3,3,2,2-hop,True
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",2-hop,agentic-graph,local,none,0,22101,5790,571,6361,ICE-016;ICE-017,ICE-016;ICE-017;ICE-003;ICE-020;ICE-012;ICE-007;ICE-001;ICE-014;ICE-006;ICE-013,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,2,3,2,2-hop,True
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",2-hop,adaptive,local,none,0,20786,4056,529,4585,ENG-038;FDR-016;ENG-020,FDR-016;ENG-020;INS-039;FUEL-024;FDR-001,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",1.0,1.0,1.0,0.6667,0.4,3,3,2,2-hop,True
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",2-hop,vanilla,local,none,0,8007,777,338,1115,DLNK-013;SEC-009;SEC-010;CDL-012;FMS-033,CDL-012;DLNK-013;SEC-010;SEC-009;FMS-033,5,0,,,,,0.4,0.6667,0.5,0.6667,0.4,5,3,2,2-hop,True
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",2-hop,agentic,local,none,0,27172,5111,1013,6124,SEC-010;FCC-011;SEC-017;CDL-012;DLNK-013,FCC-011;CDL-012;FMS-033;AUTO-009;EMS-015;DLNK-013;DLNK-004;CDL-021;SEC-017;DLNK-014,10,3,continue,semantic,,,0.6,1.0,0.75,0.6667,0.2,5,3,2,2-hop,True
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",2-hop,graphrag,local,none,0,12516,2118,556,2674,SEC-010;AUTO-034;AUTO-006;APM-033;CDL-012;SEC-009;DLNK-013;SEC-017,CDL-012;DLNK-013;SEC-010;SEC-009;FMS-033;INS-040;SEC-017;FMS-022;APM-033;AUTO-006;AUTO-017;AUTO-034;CDL-030;CDL-040;COMM-019,15,0,,,,,0.25,0.6667,0.3636,0.6667,0.1333,8,3,2,2-hop,True
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",2-hop,agentic-graph,local,none,0,33879,5780,1406,7186,SEC-010;FCC-011;SEC-017;CDL-012;DLNK-013,FCC-011;CDL-012;FMS-033;AUTO-009;EMS-015;DLNK-013;DLNK-004;CDL-021;SEC-017;DLNK-014,10,3,continue,semantic,,,0.6,1.0,0.75,0.6667,0.2,5,3,2,2-hop,True
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",2-hop,adaptive,local,none,0,21691,4723,525,5248,CDL-030;ICE-019,ICE-019;ICE-012;ICE-002;ICE-006;ICE-001;ICE-019;ICE-020;ICE-006;ICE-013;ICE-018,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",0.0,0.0,0.0,0.0,0.0,2,3,2,2-hop,True
"For civil Nimbus-C3 operations, what SBAS processing capability is required for the INS to achieve the SORA OC-3 containment volume navigation performance?",2-hop,vanilla,local,none,0,6340,583,186,769,INS-022;NBC3-INS-001;NBC3-GPS-001,NBC3-INS-001;NBC3-GPS-001;EMS-028;NBC3-FCC-004;INS-001,5,0,,,,,0.6667,0.6667,0.6667,0.3333,0.2,3,3,2,2-hop,True
"For civil Nimbus-C3 operations, what SBAS processing capability is required for the INS to achieve the SORA OC-3 containment volume navigation performance?",2-hop,agentic,local,none,0,1762,160,51,211,,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,0.0,0,3,2,2-hop,True
"For civil Nimbus-C3 operations, what SBAS processing capability is required for the INS to achieve the SORA OC-3 containment volume navigation performance?",2-hop,graphrag,local,none,0,7059,1378,261,1639,NBC3-INS-001;INS-022;NBC3-GPS-001,NBC3-INS-001;NBC3-GPS-001;EMS-028;NBC3-FCC-004;INS-001;SEC-011;NBC3-LDG-001;NBC3-INS-002;FMS-002;FMS-020;INS-022;NBC3-FCC-002;NBC3-NAV-001;SKT1-NAV-001;FCC-004,15,0,,,,,0.6667,0.6667,0.6667,0.6667,0.1333,3,3,2,2-hop,True
"For civil Nimbus-C3 operations, what SBAS processing capability is required for the INS to achieve the SORA OC-3 containment volume navigation performance?",2-hop,agentic-graph,local,none,0,2670,160,56,216,,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,0.0,0,3,2,2-hop,True
"For civil Nimbus-C3 operations, what SBAS processing capability is required for the INS to achieve the SORA OC-3 containment volume navigation performance?",2-hop,adaptive,local,none,0,4593,583,181,764,INS-022;NBC3-INS-001;NBC3-GPS-001,NBC3-INS-001;NBC3-GPS-001;EMS-028;NBC3-FCC-004;INS-001,5,0,,,vanilla,R2: explicit_id (1) + no_traceability_kw → cheap top-K,0.6667,0.6667,0.6667,0.3333,0.2,3,3,2,2-hop,True
"For ground-maintenance fault-injection commands sent from BIT to the power subsystem, what operator authentication must be completed first, and by what login method?",2-hop,vanilla,local,none,0,4178,507,129,636,SEC-015;BIT-020;PWR-027;GCS-008,PWR-027;BIT-021;SEC-015;BIT-020;GCS-008,5,0,,,,,0.75,1.0,0.8571,1.0,0.6,4,3,2,2-hop,True
"For ground-maintenance fault-injection commands sent from BIT to the power subsystem, what operator authentication must be completed first, and by what login method?",2-hop,agentic,local,none,0,20485,4653,489,5142,SEC-010;EPS-018;ICE-019,ICE-019;ICE-017;ICE-008;ICE-020;ICE-012;EPS-024;EPS-020;EPS-013;EPS-015;EPS-018,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,3,3,2,2-hop,True
"For ground-maintenance fault-injection commands sent from BIT to the power subsystem, what operator authentication must be completed first, and by what login method?",2-hop,graphrag,local,none,0,6548,1277,139,1416,SEC-015;GCS-008;BIT-020;PWR-027,PWR-027;BIT-021;SEC-015;BIT-020;GCS-008;BIT-031;BIT-004;FCC-006;APM-029;APM-033;BIT-005;EMS-004;EMS-023;EMS-026;FCC-044,15,0,,,,,0.75,1.0,0.8571,1.0,0.2,4,3,2,2-hop,True
"For ground-maintenance fault-injection commands sent from BIT to the power subsystem, what operator authentication must be completed first, and by what login method?",2-hop,agentic-graph,local,none,0,21306,4221,498,4719,SEC-015;PWR-027;GCS-008;BIT-020,PWR-027;BIT-020;BIT-021;SEC-015;BIT-031,5,2,sufficient,semantic,,,0.75,1.0,0.8571,0.6667,0.4,4,3,2,2-hop,True
"For ground-maintenance fault-injection commands sent from BIT to the power subsystem, what operator authentication must be completed first, and by what login method?",2-hop,adaptive,local,none,0,18429,3700,429,4129,SEC-010;EPS-018,EPS-024;EPS-020;EPS-013;EPS-015;EPS-018,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=1, trace_kw=False, chain_ind=True, numeric=False)",0.0,0.0,0.0,0.0,0.0,2,3,2,2-hop,True
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,2-hop,vanilla,local,none,0,6958,528,253,781,LDG-031;FCC-048,FCC-048;FCC-033;LDG-031;FCC-023;INS-020,5,0,,,,,1.0,0.6667,0.8,0.6667,0.4,2,3,2,2-hop,True
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,2-hop,agentic,local,none,0,24780,5144,694,5838,FCC-048;FCC-C5,FCC-048;FCC-033;ALX2-FCC-003;FCC-040;FCC-C5;ADS-023;ADS-025;ADS-026;ADS-008;ADS-017,10,3,continue,semantic,,,0.5,0.3333,0.4,0.3333,0.1,2,3,2,2-hop,True
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,2-hop,graphrag,local,none,0,8494,1580,247,1827,LDG-031;FCC-048,FCC-048;FCC-033;LDG-031;FCC-023;INS-020;FCC-040;AUTO-038;LDG-025;AUTO-020;AUTO-032;BIT-024;CDL-035;EMS-006;FCC-016;FCC-031,15,0,,,,,1.0,0.6667,0.8,0.6667,0.1333,2,3,2,2-hop,True
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,2-hop,agentic-graph,local,none,0,31326,7010,995,8005,FCC-048;LDG-015,FCC-048;FCC-033;FCC-050;ALX2-FCC-003;FCC-040;ADS-023;ADS-025;ADS-026;ADS-017;ADS-016;LDG-015,11,3,continue,semantic,,,1.0,0.6667,0.8,0.6667,0.1818,2,3,2,2-hop,True
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,2-hop,adaptive,local,none,0,7284,528,270,798,LDG-031;FCC-048,FCC-048;FCC-033;LDG-031;FCC-023;INS-020,5,0,,,vanilla,R5: numeric_hint + single_module (FCC) → top-K,1.0,0.6667,0.8,0.6667,0.4,2,3,2,2-hop,True
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",2-hop,vanilla,local,none,0,6662,633,351,984,GPS-009;SAR-001;CDL-022,SAR-001;GPS-009;CDL-022;PLD-001;GPS-001,5,0,,,,,0.3333,0.3333,0.3333,0.3333,0.2,3,3,2,2-hop,True
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",2-hop,agentic,local,none,0,18523,3789,481,4270,SAR-001;CDL-022,SAR-001;CDL-022;SAR-008;EMS-023;SAR-006,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,2,3,2,2-hop,True
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",2-hop,graphrag,local,none,0,7224,1555,263,1818,CDL-024;GPS-009;SAR-001,SAR-001;GPS-009;CDL-022;PLD-001;GPS-001;CDL-001;LDG-017;CDL-032;ALX2-PLD-001;CDL-024;COMM-002;COMM-018;DLNK-002;DLNK-017;EOIR-002,15,0,,,,,0.6667,0.6667,0.6667,0.6667,0.1333,3,3,2,2-hop,True
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",2-hop,agentic-graph,local,none,0,24987,5793,851,6644,GPS-009,GPS-009;GPS-001;GPS-021;GPS-027;NBC3-GPS-002;ICE-006;ICE-001;ICE-007;ICE-010;ICE-020,10,3,continue,semantic,,,1.0,0.3333,0.5,0.3333,0.1,1,3,2,2-hop,True
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",2-hop,adaptive,local,none,0,22728,4887,640,5527,GPS-009,GPS-009;GPS-001;GPS-021;GPS-027;NBC3-GPS-002;ADS-021;STR7-ADS-001;ADS-003;ADS-001;NBC3-ADS-001,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=2, trace_kw=False, chain_ind=False, numeric=False)",1.0,0.3333,0.5,0.3333,0.1,1,3,2,2-hop,True
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",3+-hop,vanilla,local,none,0,7982,596,298,894,HMI-220;HMI-004;HMI-005,HMI-009;HMI-220;HMI-C4;FCC-C5;HMI-004,5,0,,,,,0.0,0.0,0.0,0.0,0.0,3,4,3,3+-hop,True
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",3+-hop,agentic,local,none,0,19285,5635,513,6148,HMI-025;SKT1-FCC-003;HMI-020;ALX2-FCC-003,FCC-C5;FCC-001;SKT1-FCC-003;FCC-004;FCC-038;FCC-052;ALX2-FCC-003;FCC-048;FCC-040;FCC-053,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,4,4,3,3+-hop,True
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",3+-hop,graphrag,local,none,0,8787,1452,359,1811,HMI-220;HMI-004;HMI-005;HMI-001;GCS-033,HMI-009;HMI-220;HMI-C4;FCC-C5;HMI-004;HMI-001;HMI-037;HMI-003;FMS-022;GCS-033;HMI-005;HMI-210;AUTO-020;CDL-030;CDL-040,15,0,,,,,0.0,0.0,0.0,0.25,0.0667,5,4,3,3+-hop,True
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",3+-hop,agentic-graph,local,none,0,24389,8419,669,9088,FCC-013;FCC-014;FCC-015;FCC-038;SKT1-FCC-003;AUTO-002;AUTO-011;AUTO-025;FMS-002,FCC-C5;FCC-001;SKT1-FCC-003;FCC-038;FCC-052;FCC-013;FCC-014;FCC-015;AUTO-002;AUTO-025;FMS-002;AUTO-011,12,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,9,4,3,3+-hop,True
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",3+-hop,adaptive,local,none,0,10588,1452,303,1755,HMI-220;HMI-004;HMI-005;HMI-001,HMI-009;HMI-220;HMI-C4;FCC-C5;HMI-004;HMI-001;HMI-037;HMI-003;FMS-022;GCS-033;HMI-005;HMI-210;AUTO-020;CDL-030;CDL-040,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.0,0.0,0.0,0.25,0.0667,4,4,3,3+-hop,True
"Which flight control requirement is ultimately traced from the referenced air data requirement through the intermediate air data dependency, and how does that end-to-end linkage propagate across the ADS–FCC boundary?",3+-hop,vanilla,local,none,0,5279,708,195,903,FCC-001;ADS-001,FCC-001;ADS-001;AUTO-004;SEC-003;FUEL-003,5,0,,,,,0.0,0.0,0.0,0.0,0.0,2,3,3,3+-hop,True
"Which flight control requirement is ultimately traced from the referenced air data requirement through the intermediate air data dependency, and how does that end-to-end linkage propagate across the ADS–FCC boundary?",3+-hop,agentic,local,none,0,31978,9375,1100,10475,ADS-022;ADS-023;FCC-051;ADS-006;FCC-037,ADS-001;ADS-023;ADS-004;ADS-C5;ADS-010;FCC-038;FCC-001;FCC-004;FCC-037;FCC-051;FCC-C5;FCC-049;FCC-011;FCC-032;FCC-040;ADS-022;ADS-002;ADS-024;ADS-009;ADS-006,20,3,continue,semantic,,,0.0,0.0,0.0,0.3333,0.05,5,3,3,3+-hop,True
"Which flight control requirement is ultimately traced from the referenced air data requirement through the intermediate air data dependency, and how does that end-to-end linkage propagate across the ADS–FCC boundary?",3+-hop,graphrag,local,none,0,9861,1586,349,1935,ADS-001;FCC-001;AUTO-025;FCC-038,FCC-001;ADS-001;AUTO-004;SEC-003;FUEL-003;ADS-004;FCC-038;ENG-016;ALX2-FCC-004;AUTO-025;AUTO-028;ENG-021;FCC-011;FCC-021;FCC-025,15,0,,,,,0.0,0.0,0.0,0.0,0.0,4,3,3,3+-hop,True
"Which flight control requirement is ultimately traced from the referenced air data requirement through the intermediate air data dependency, and how does that end-to-end linkage propagate across the ADS–FCC boundary?",3+-hop,agentic-graph,local,none,0,25038,8775,828,9603,ADS-020;FDR-016;FCC-037;ADS-023,ADS-001;FCC-001;AUTO-004;ADS-023;SEC-003;ADS-004;FCC-038;FDR-001;FUEL-003;FCC-037;AUTO-025;AUTO-028;ENG-021;FCC-021;FCC-025;FCC-026;FCC-028;FCC-029;ALX2-FCC-004;FDR-016,20,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,4,3,3,3+-hop,True
"Which flight control requirement is ultimately traced from the referenced air data requirement through the intermediate air data dependency, and how does that end-to-end linkage propagate across the ADS–FCC boundary?",3+-hop,adaptive,local,none,0,8511,1586,360,1946,ADS-001;FCC-001;AUTO-025;FCC-038;FCC-021;FCC-025,FCC-001;ADS-001;AUTO-004;SEC-003;FUEL-003;ADS-004;FCC-038;ENG-016;ALX2-FCC-004;AUTO-025;AUTO-028;ENG-021;FCC-011;FCC-021;FCC-025,15,0,,,graphrag,R3: n_modules (2) ≥ 2 + chain_indicator → always-walk graph,0.0,0.0,0.0,0.0,0.0,6,3,3,3+-hop,True
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",3+-hop,vanilla,local,none,0,13507,632,862,1494,APM-024;SEC-002;SEC-003;GCS-001;FCC-001,SEC-002;SEC-003;GCS-001;APM-024;FCC-001,5,0,,,,,0.0,0.0,0.0,0.0,0.0,5,4,4,3+-hop,True
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",3+-hop,agentic,local,none,0,28372,6214,910,7124,PWR-032;ICE-015;ICE-002;ICE-006;FCC-037;FCC-006;FCC-038;FCC-004,EPS-001;EPS-003;EPS-022;EPS-024;EPS-004;FCC-037;FCC-004;FCC-038;FCC-006;FCC-001;ICE-001;ICE-006;ICE-003;ICE-015;ICE-002,15,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,8,4,4,3+-hop,True
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",3+-hop,graphrag,local,none,0,13717,1890,828,2718,APM-024;GCS-001;FCC-011;FCC-037;FCC-012;FCC-005;SEC-002;SEC-003;FCC-009;CDL-002,SEC-002;SEC-003;GCS-001;APM-024;FCC-001;FCC-037;PWR-003;ENG-004;CDL-002;FCC-002;FCC-005;FCC-009;FCC-011;FCC-012;HMI-002,15,0,,,,,0.0,0.0,0.0,0.0,0.0,10,4,4,3+-hop,True
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",3+-hop,agentic-graph,local,none,0,30417,9954,1067,11021,APM-009;AUTO-022;FCC-005;FCC-037;FCC-009;EMS-010;GCS-001;SEC-002;SEC-011;SEC-003;SEC-015;PWR-032;APM-029;FCC-012,FCC-037;SEC-003;SEC-002;GCS-001;FCC-038;AUTO-004;FMS-039;SEC-011;PWR-003;APM-024;FCC-005;FCC-009;FCC-012;APM-001;APM-009;APM-029;APM-003;APM-022;APM-027;APM-002;APM-004;APM-007,22,3,continue,semantic,,,0.1429,0.5,0.2222,0.25,0.0455,14,4,4,3+-hop,True
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",3+-hop,adaptive,local,none,0,10962,1890,557,2447,FCC-011;GCS-001;SEC-002;SEC-010;FCC-012;FCC-037;APM-024,SEC-002;SEC-003;GCS-001;APM-024;FCC-001;FCC-037;PWR-003;ENG-004;CDL-002;FCC-002;FCC-005;FCC-009;FCC-011;FCC-012;HMI-002,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.0,0.0,0.0,0.0,0.0,7,4,4,3+-hop,True
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,3+-hop,vanilla,local,none,0,6225,653,278,931,AUTO-004;AUTO-002;FMS-004,FMS-C5;FMS-004;AUTO-002;HMI-003;AUTO-004,5,0,,,,,0.0,0.0,0.0,0.0,0.0,3,4,3,3+-hop,True
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,3+-hop,agentic,local,none,0,23966,4969,617,5586,FCC-032;NAV-012;FCC-024,FCC-032;FCC-038;FCC-001;FCC-004;FCC-049;NAV-001;NAV-010;NAV-C5;NAV-034;NAV-012,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,3,4,3,3+-hop,True
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,3+-hop,graphrag,local,none,0,7703,1698,214,1912,AUTO-002;FCC-032;FMS-030,FMS-C5;FMS-004;AUTO-002;HMI-003;AUTO-004;FCC-032;AUTO-C5;NAV-001;AUTO-010;FCC-005;FCC-013;FMS-001;FMS-005;FMS-030;INS-002,15,0,,,,,0.0,0.0,0.0,0.0,0.0,3,4,3,3+-hop,True
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,3+-hop,agentic-graph,local,none,0,21948,10182,602,10784,NBC3-FCC-004;NBC3-NAV-001;FMS-020,NAV-001;NAV-C5;NAV-010;NAV-034;NBC3-NAV-001;NAV-004;NAV-017;NAV-009;NAV-033;NAV-032;FCC-038;FCC-032;FCC-001;FCC-010;FCC-040;FCC-055;FCC-011;NBC3-FCC-004;NBC3-FCC-001;FCC-049;ADS-004;ADS-001;ADS-023;ADS-016;ADS-008;ADS-002;ADS-025;ADS-010;ADS-014;ADS-024,30,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,3,4,3,3+-hop,True
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,3+-hop,adaptive,local,none,0,7415,1698,337,2035,FCC-032;AUTO-010;FMS-030;AUTO-002;FMS-004;AUTO-004;NAV-001,FMS-C5;FMS-004;AUTO-002;HMI-003;AUTO-004;FCC-032;AUTO-C5;NAV-001;AUTO-010;FCC-005;FCC-013;FMS-001;FMS-005;FMS-030;INS-002,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.0,0.0,0.0,0.0,0.0,7,4,3,3+-hop,True
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,3+-hop,vanilla,local,none,0,5539,648,211,859,HMI-120;ENG-008;SEC-002,APM-001;HMI-001;ENG-001;ENG-008;SEC-002,5,0,,,,,0.3333,0.25,0.2857,0.0,0.0,3,4,3,3+-hop,True
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,3+-hop,agentic,local,none,0,28765,7130,924,8054,HMI-120;ENG-008;ICE-019;CDL-030;HMI-050;AUTO-010,APM-001;HMI-001;HMI-003;FCC-004;ENG-008;ICE-019;ICE-001;ICE-004;ICE-002;ICE-006;HMI-200;HMI-120;HMI-025;HMI-050;HMI-032;HMI-008;PLD-006;HMI-060,18,3,continue,semantic,,,0.1667,0.25,0.2,0.25,0.0556,6,4,3,3+-hop,True
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,3+-hop,graphrag,local,none,0,8173,1607,282,1889,AUTO-006;AUTO-022;SEC-010;EMS-015;HMI-120;ENG-008,APM-001;HMI-001;ENG-001;ENG-008;SEC-002;PWR-001;AUTO-006;PLD-001;AUTO-020;AUTO-022;CDL-030;DLNK-009;EOIR-002;EPS-002;FUEL-002,15,0,,,,,0.3333,0.5,0.4,0.0,0.0,6,4,3,3+-hop,True
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,3+-hop,agentic-graph,local,none,0,19140,5107,591,5698,AUTO-022;EMS-011;EMS-002;SEC-015;APM-029;HMI-120;ENG-008,APM-001;HMI-003;BIT-002;APM-002;EMS-011;ENG-001;EMS-002;APM-029;ENG-008;HMI-001,10,3,continue,semantic,,,0.1429,0.25,0.1818,0.0,0.0,7,4,3,3+-hop,True
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,3+-hop,adaptive,local,none,0,7139,1607,291,1898,ENG-008;HMI-120;AUTO-020;AUTO-022;EMS-015;SEC-010;AUTO-006,APM-001;HMI-001;ENG-001;ENG-008;SEC-002;PWR-001;AUTO-006;PLD-001;AUTO-020;AUTO-022;CDL-030;DLNK-009;EOIR-002;EPS-002;FUEL-002,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.2857,0.5,0.3636,0.0,0.0,7,4,3,3+-hop,True
"Which flight-control built-in test requirement traces through security constraints to the autopilot mode behavior, and what security requirement is referenced at both ends of that chain?",3+-hop,vanilla,local,none,0,5353,615,209,824,AUTO-006;SEC-010;BIT-001,AUTO-001;AUTO-006;AUTO-005;AUTO-025;BIT-001,5,0,,,,,0.0,0.0,0.0,0.0,0.0,3,4,4,3+-hop,True
"Which flight-control built-in test requirement traces through security constraints to the autopilot mode behavior, and what security requirement is referenced at both ends of that chain?",3+-hop,agentic,local,none,0,24868,7619,809,8428,FCC-006;FCC-037;FCC-011;SEC-003;FCC-032,FCC-001;FCC-037;FCC-032;FCC-038;FCC-011;FCC-037;FCC-039;FCC-006;NBC3-FCC-003;FCC-051;FCC-C5;FCC-056;FCC-042;FCC-055;FCC-007,15,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,5,4,4,3+-hop,True
"Which flight-control built-in test requirement traces through security constraints to the autopilot mode behavior, and what security requirement is referenced at both ends of that chain?",3+-hop,graphrag,local,none,0,7714,1539,259,1798,SEC-010;AUTO-006;CDL-030;DLNK-009;BIT-001,AUTO-001;AUTO-006;AUTO-005;AUTO-025;BIT-001;SEC-016;FCC-001;AUTO-009;AUTO-007;AUTO-008;AUTO-020;AUTO-022;CDL-030;DLNK-009;EMS-006,15,0,,,,,0.0,0.0,0.0,0.0,0.0,5,4,4,3+-hop,True
"Which flight-control built-in test requirement traces through security constraints to the autopilot mode behavior, and what security requirement is referenced at both ends of that chain?",3+-hop,agentic-graph,local,none,0,21137,7895,664,8559,SEC-010;AUTO-006;SEC-016,AUTO-001;AUTO-006;AUTO-005;NBC3-AUTO-001;AUTO-009;AUTO-025;BIT-001;FCC-001;SEC-016;AUTO-038;FCC-038;FCC-055;FCC-052;FCC-049;AUTO-008;AUTO-007,16,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,3,4,4,3+-hop,True
