query,pipeline,repeat,query_type,orig_gpt41,new_gpt41,new_reason
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,graphrag,0,1-hop,True,True,All claims are directly supported by SEC-017 and SEC-005 regarding AES-256 key wrapping in HSMs and non-extractability by software.
"Which HMI requirement implements the FMS uplinked flight-plan change confirmation, including full-diff display before activation?",agentic-graph,0,1-hop,True,True,"All factual claims about HMI-037 requiring explicit confirmation, displaying full diff, and satisfying FMS.FMS-022 are supported verbatim in the retrieved context."
Which published fuel-status data does the flight control computer rely on to constrain commanded thrust to available fuel?,adaptive,0,1-hop,False,True,The answer correctly states that the retrieved contexts do not contain any requirement about fuel-status inputs or thrust limiting based on available fuel.
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,vanilla,2,3+-hop,False,True,The answer correctly states that the retrieved contexts lack any explicit autonomy requirement IDs or traceability links from security to autonomy requirements.
Which GPS requirement is ultimately fulfilled via the security control referenced by the navigation requirement traced from the original GPS requirement?,vanilla,0,3+-hop,False,True,"The answer accurately reflects the lack of explicit linkage or traceability between GPS requirements, navigation requirements, and referenced security controls in the provided contexts."
How does the ground-vibration test’s identified modal model determine the notch-filter frequencies and widths applied to inertial measurements before inner-loop control?,agentic-graph,1,2-hop,True,True,"Every claim in the answer about the role of GVT, the application and implementation of notch filters, the use of the Structural_Notch_Filters table, and verification is explicitly supported by the ret"
Which navigation requirement is ultimately supported by the security control satisfied by the GPS timing-reference requirement cited by the higher-level GPS requirement?,agentic,1,3+-hop,False,True,"All claims are cautious, grounded, and accurately constrained by the retrieval; they avoid unsupported requirement trace chains and directly reference only what is present."
"Which integration-rig HIL test verifies the backup GCS cold-standby switchover requirement, including two-minute recovery and retained control authority?",vanilla,1,1-hop,True,True,"Every claim about the test, requirements, switchover time, and control authority is directly supported by the retrieved contexts."
"If the operator commands autonomous-flight mode engagement from the ground station, how must the command be routed, and which modes still require explicit authenticated engagement?",vanilla,2,2-hop,False,True,"All claims in the answer are supported by the retrieved contexts, with requirements and routing paths accurately cited and modes correctly listed."
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",adaptive,2,1-hop,True,True,All claims in the answer are directly supported by EMS-034 in the retrieved context.
Which communications requirement is ultimately satisfied by the fuel-system requirement through the referenced security control and command/data link implementation chain?,agentic-graph,2,3+-hop,True,True,"[FUEL-025] requires authentication per [SEC-010], which invokes communication security per [CDL-012], and all IDs and relationships stated are in the retrieved contexts."
"When flying an LPV or LNAV/VNAV approach, what SBAS processing and resulting GPS-aided NAV accuracy must be maintained, and what minima remain if SBAS is lost?",agentic,2,2-hop,False,True,"Every claim in the answer is supported and grounded only in the retrieved contexts, with no unsupported details or requirement citations outside the contexts."
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,agentic,2,1-hop,True,True,[SAR-005] explicitly requires operator authorisation per [PLD-006] before transitioning from STANDBY to any transmitting mode and traces to the platform-level [PLD-006] requirement.
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,agentic,1,1-hop,True,True,All command ID ranges and target mappings cited in the answer are present in the Payload_Command_Routing table from the contexts.
"Which INS-published state elements support the flight data recorder’s mandatory attitude, position, and velocity parameter capture?",graphrag,0,1-hop,True,True,All claims about INS_STATE_MSG contents and FDR Mandatory Params sourcing are directly supported by INS-020 and FDR-016; the answer correctly notes the limits of retrieved context regarding NAV-029.
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",adaptive,2,3+-hop,False,True,All factual claims are grounded in the provided contexts or admit their absence.
How does the secure data-link implementation satisfy the automation-level requirement while propagating referenced constraints through automation behavior to the radar subsystem?,adaptive,1,3+-hop,False,True,"All claims are supported or appropriately caveated with lack of supporting context, and all requirement references match the retrieved contexts."
"If the command link is lost long enough to trigger return-to-base, can the aircraft autonomously use the current operator-updated rally point without prior operator engagement?",adaptive,2,2-hop,False,True,The answer accurately reports that the retrieved contexts do not specify RTB rally-point or operator engagement behavior and only discusses what is present.
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",graphrag,2,2-hop,True,True,All claims regarding authentication requirements and enforcement locations are supported by the retrieved contexts.
"Which autonomy requirement is ultimately supported by the security control referenced by the communications verification requirement, and what communications item provides the verification evidence?",vanilla,2,3+-hop,False,True,The answer only presents information explicitly supported by the contexts and acknowledges what cannot be determined.
"Which autonomy requirement is ultimately supported by the security control referenced by the communications verification requirement, and what communications item provides the verification evidence?",agentic-graph,2,3+-hop,False,True,"Every claim is grounded in the retrieved contexts, and the answer correctly identifies the limits of what can be verified from the provided requirements."
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",adaptive,1,2-hop,False,True,Every claim in the answer is explicitly derived from or appropriately negated by the retrieved contexts without introducing unsupported details.
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",vanilla,1,3+-hop,False,True,"All claims are directly supported by the provided contexts, with explicit limitations noted where allocation to specific FCC function is not described."
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic,0,3+-hop,False,True,The answer only asserts what is present in the retrieved contexts and explains that the required propagation and recorder behavior details are unsupported by the provided requirements.
"After the command link is lost, what warning and command inhibit must the GCS provide while the aircraft returns to the current authenticated rally point?",agentic,1,2-hop,True,True,"Every claim is supported by the retrieved contexts, including operator warning, command inhibit, RTB logic, rally point handling, and climb to safe altitude."
Does the primary essential bus power specification satisfy the flight control computer’s 28 VDC interface and undervoltage requirements?,graphrag,1,1-hop,True,True,"All claims about voltage ranges, undervoltage timing, and transient voltage limits are directly supported and referenced in the retrieved contexts."
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",agentic,2,2-hop,False,False,"The answer introduces details about payload and deep-shed loads, and discusses load-shed sequence not explicitly specified for single-generator operation in the retrieved contexts."
"In linked mode, what ground-station command latency supports the command-data link’s 20 Hz command reception and downstream routing?",agentic-graph,1,1-hop,False,True,The answer accurately summarizes only what is present in the retrieved contexts and does not add unsupported claims.
"What EPS status publication rate is required for the flight data recorder, and which endpoint requirement defines that interface?",adaptive,2,1-hop,True,True,All claims regarding publication and recording rates and requirement references are directly supported by the retrieved contexts.
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,adaptive,0,2-hop,True,True,"All claims about requirements, test parameters, and relationships are supported by the retrieved contexts."
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,graphrag,0,3+-hop,True,False,"The answer claims the FMS-022 to CDL-040 trace breaks in context, which is accurate, but it adds detail about what is verifiable from FMS-022 and CDL-040 that is not directly present, and synthesizes "
"Which flight control requirement is ultimately traced from the referenced air data requirement through the intermediate air data dependency, and how does that end-to-end linkage propagate across the ADS–FCC boundary?",agentic,0,3+-hop,False,True,"Every claim accurately reflects limits of traceability in the retrieved contexts, without introducing unsupported or extraneous links."
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,vanilla,2,1-hop,True,True,"All references to SEC-008, FCC-031, and FCC-040, as well as their described contents, are directly supported by the retrieved contexts."
Which tactical datalink verification requirement demonstrates coordinated flight-plan separation compliance for coalition multi-aircraft FMS operation?,graphrag,2,1-hop,True,True,"Every factual claim, including the verification method and requirements cited, is directly supported by the retrieved contexts."
Which communications links must demonstrate DO-160G Category Y EMC coexistence without mutual interference with the radar altimeter and GPS?,graphrag,0,1-hop,True,True,All claims about which communications links must demonstrate DO-160G Category Y EMC coexistence with radar altimeter and GPS are directly supported by the cited requirement IDs in the retrieved contex
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,vanilla,0,1-hop,True,True,All claims about requirements and their cited references are explicitly supported in the retrieved contexts.
"What top-level built-in test objective ultimately traces through the software requirement and logic design into the command/data link implementation, and what downstream design obligation does it impose?",adaptive,0,3+-hop,False,True,Every claim in the answer is explicitly supported by the retrieved contexts and no unsupported details are added.
"Does the flight-plan upload path use the same public-key signature controls as field firmware updates over MBIT, including GCS countersignature and rejection of invalid, expired, or revoked loads?",vanilla,2,2-hop,True,True,"All claims about signature controls, rejection criteria, and GCS counter-signature are directly supported by the retrieved contexts."
"Which flight control requirement ultimately drives the cockpit interface behavior referenced through the control-chain dependency, and how does that end-to-end traceability flow across avionics and HMI?",agentic,0,3+-hop,False,True,"[ALX2-FCC-003] explicitly defines detection, control, and HMI operator notification, and the answer does not add details beyond what is supported; it also properly notes the absence of HMI-020's conte"
"Which flight-control requirement, traced from the built-in test function through the environmental monitoring requirement it satisfies, ultimately references the final EMS requirement?",agentic-graph,2,3+-hop,False,True,"All claims in the answer are directly supported by FCC-006 and its stated satisfaction of EMS-004 in the retrieved contexts, with appropriate limitations clearly explained."
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,agentic-graph,2,1-hop,True,True,All claims are supported and directly reflected by SAR-005 and PLD-006 in the retrieved contexts.
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,agentic,1,3+-hop,False,False,"The answer adds details, such as the SEC-008 chain being only 'indirectly and partially evidenced', that are not supported; it speculates beyond what is explicitly traceable from the FMS reference thr"
Which flight data recorder requirement captures APM battery/APU data around fault transitions to support the APU health exceedance shutdown logging requirement?,agentic,2,1-hop,True,True,All claims are directly supported by FDR-030 and APM-023 in the retrieved contexts.
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",vanilla,0,3+-hop,False,True,"All claims in the answer are faithfully supported, with all mappings and limitations carefully traced to the provided requirements."
"Which interface power requirement defines the 50 ms ride-through capability, and which general requirement establishes the DO-160G Category Z interruption profile?",agentic-graph,2,1-hop,False,True,All claims are directly supported by the retrieved contexts with correct requirement IDs and literal content.
"Which command-and-data-link requirement ultimately fulfills the secure communications requirement, and through what EMS reference path is that satisfaction traced across subsystems?",adaptive,0,3+-hop,True,True,All claims about requirement satisfaction and EMS traceability are directly supported by the retrieved contexts.
"For secure UHF voice operation, what encryption/authentication scheme and key-rotation policy apply, and what happens if no valid key is loaded?",graphrag,2,2-hop,True,True,"All claims are directly supported by COMM-019, COMM-030, SEC-010, and CDL-012, with appropriate caveats regarding applicability."
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,agentic-graph,0,1-hop,True,True,Every factual claim in the answer is supported directly by the retrieved contexts.
"How does the flight control requirement trace through the data link and flight management functions to the crew interface, and what flight management behavior closes the loop?",adaptive,1,3+-hop,False,True,"All claims are supported and referenced directly from the retrieved contexts, with limitations clearly identified."
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic-graph,0,1-hop,True,True,"All claims are directly supported by the retrieved contexts regarding test method, voting logic, sensor redundancy, and FCC behavior."
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,vanilla,0,3+-hop,False,False,The answer synthesizes a traceability chain and module relationships that are not explicitly stated in the retrieved contexts.
"When the PMC is qualified to the specified DO-160G environment and EMC limits, what GNSS frequencies and constellations must remain operable without interference via DLNK coexistence?",adaptive,1,2-hop,False,True,The answer correctly states only what is supported by the retrieved contexts and avoids unsupported claims about specific GNSS frequencies and constellations.
How does the FCC’s 1 Hz BIT status reporting drive both FDR health-record storage and the BIT subsystem’s consolidated health-status publication?,agentic,1,2-hop,True,True,"All claims regarding the 1 Hz FCC BIT reporting, its direct storage by the FDR, and aggregation/publication by the BIT subsystem are explicitly supported by the retrieved requirements."
How does payload-bay thermal management need to accommodate the SAR’s platform-specific steady-state and transmit-pulse power loads while keeping sensor electronics within operating range?,agentic,0,2-hop,False,True,"All claims in the answer are supported by the retrieved contexts, which lack information on SAR or payload-bay thermal management."
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,adaptive,0,1-hop,True,True,"All claims in the answer are directly supported by the retrieved contexts, citing requirement IDs and details verbatim."
What authentication and access conditions must be met to use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT?,adaptive,2,2-hop,False,True,The answer correctly states no relevant requirements on INS maintenance port authentication/access are found in the retrieved contexts.
"How does the flight control requirement trace through the data link and flight management functions to the crew interface, and what flight management behavior closes the loop?",graphrag,2,3+-hop,False,True,"All claims in the answer are directly grounded in the retrieved contexts, and any gaps or missing information are accurately noted as absent."
Which flight computer control requirement is ultimately justified by the flight data recorder requirement through the linked security and built-in-test trace chain?,graphrag,2,3+-hop,False,True,The answer accurately reflects the retrieved contexts and correctly identifies that no full trace chain from FDR to FCC through security and BIT is supported.
"How is a suspected GPS spoofing event detected in the inertial filter, handled in navigation fusion, and propagated to security monitoring and logging?",adaptive,1,2-hop,False,True,Every claim in the answer matches or is explicitly limited by the provided requirements; everything stated as missing is indeed not in the contexts.
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",agentic-graph,0,3+-hop,True,True,"All claims regarding the traceability chain from SEC-019 through SEC-008 to FCC-031/FCC-040, as well as the functional roles of FCC-040 and CDL-035, are explicitly supported by the retrieved contexts."
"How would the 60-minute HIL data review confirm the recorder captures BIT fault information from the mandatory parameter set, given the subsystem’s published health-status message details?",graphrag,0,2-hop,False,True,"All factual claims are supported by the contexts, with appropriate caveats about BIT-036 content."
"Which built-in test verifies the power requirement tied to the cited security control, and what ground-control interface constraint is ultimately referenced through that chain?",agentic-graph,1,3+-hop,False,True,"All claims are supported: MBIT is defined as Maintenance Built-In Test, PWR-027 and BIT-020 link MBIT to the authentication constraint (SEC-015) for ground maintenance, and stating lack of SEC-015's c"
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,adaptive,2,1-hop,True,True,Every claim about laboratory discharge verification referencing APM-009 and the 30 min/70% DoD endurance is supported in APM-037 and APM-009.
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",graphrag,0,2-hop,False,True,"All claims about protection of uplinked flight plan modifications by CDL, effect of CDL key zeroise, and test verification are directly supported by the retrieved contexts."
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,agentic,2,3+-hop,True,True,"All claims (requirement IDs and their relationships) are supported by the retrieved contexts, with the answer noting the absence of a direct linkage and clearly marking inferred connections."
"For loss of INS with no valid GPS/barometric fallback, what autonomous emergency transition and priority-tagged GCS mode-change notification are required?",adaptive,0,2-hop,True,True,"All claims in the answer are explicitly supported by FCC-009, and it correctly notes that notification priority is not specified in the retrieved contexts."
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic,0,2-hop,False,True,"All ANSWER claims are directly supported by context GPS-029, which names the authentication requirement, enforcement location, and lack of detail about SEC-015."
What upstream navigation timing service requirement justifies the payload computer’s UTC sensor timestamping accuracy and source-selection behavior?,agentic-graph,2,1-hop,True,True,"All claims and cited requirement IDs are directly supported by the retrieved contexts, specifically NAV-027 and NAV-022."
Does the primary essential bus power specification satisfy the flight control computer’s 28 VDC interface and undervoltage requirements?,agentic,0,1-hop,True,True,"Every claim in the answer is directly supported by the retrieved contexts, including FCC power interface specifications and the exclusion of primary essential bus voltage details from EPS requirements"
"In the 60-minute HIL recorder coverage check, how is compliance shown for the autopilot mode parameter sourced from the autopilot annunciation output at 2 Hz?",agentic,1,2-hop,True,True,"All claims about autopilot mode annunciation publication, recording at 2 Hz, source linkage, and absence of coverage check criteria are directly supported by the retrieved contexts."
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",adaptive,1,2-hop,True,True,"All claims are directly supported by EPS-011, APM-023, EPS-024, and EPS-004 in the retrieved contexts."
"Which flight computer security requirement flows through the data link to satisfy the communication subsystem requirement, and what intermediate security rationale connects them?",adaptive,1,3+-hop,False,True,"All factual claims are grounded in the retrieved contexts, with unsupported elements clearly identified as such."
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,adaptive,1,1-hop,True,True,All claims are directly supported by STR-038 and PLD-003 as quoted and summarized.
"Which control law requirement, ultimately linked from the fuel system requirement through the payload design trace, is referenced by the same control document and then traced onward to the flight control computer?",graphrag,1,3+-hop,False,True,All statements in the answer are grounded in the retrieved contexts and do not introduce unsupported claims.
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",agentic,0,3+-hop,False,True,"All claims about STR7-FCC-004, GPS-006, GPS-031, NAV-008, and NAV-005 are directly supported by the given contexts and are properly attributed."
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",vanilla,1,3+-hop,False,True,"The answer correctly restricts its statements to what is supported in the provided requirements, does not invent unlisted requirement IDs, and accurately summarizes the INS-GPS-FCC dependencies withou"
What upstream GNSS timing output and interfaces justify the navigation fusion function’s 1 Hz bus time-synchronisation service and GPS-derived accuracy source?,agentic-graph,1,1-hop,True,True,"All claims about timing outputs, interfaces, accuracy, validity flag, and their connection to NAV's time-synchronisation service are directly supported by the retrieved requirements."
"For AeroLynx-X2, how is single-engine-out detection and asymmetric-thrust compensation validated from injected N1 loss through FCC response and operator notification timing?",vanilla,1,2-hop,True,True,"All claims regarding detection logic, timing, compensation, test methods, and the operator notification reference are explicitly supported by the retrieved contexts."
"How is autonomous or operator-requested autopilot mode engagement authenticated over the data link, and what terminal cryptographic capability must support that protection?",graphrag,1,2-hop,True,True,"All claims regarding authentication of mode engagement, autonomous vs operator actions, message fields, and terminal cryptographic requirements are directly supported by the provided requirement conte"
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",graphrag,2,2-hop,True,True,All claims about N1 limits and pitch-rate reduction are directly supported by ENG-017 and ENG-030 from the retrieved contexts.
Which built-in test requirement ultimately satisfies the security control referenced by the flight data recorder requirement through the flight control computer trace chain?,agentic-graph,2,3+-hop,False,True,The answer strictly reflects that the provided contexts do not contain the detail or trace links necessary to answer the question.
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",adaptive,1,2-hop,False,True,"All claims in the answer are supported, as the contexts confirm authentication is required for in-flight mode changes and that details on message authentication, crypto modules, and key management are"
"Which flight-control requirement ultimately drives the GPS timing/power dependency through the referenced power allocation chain, and how does that dependency propagate across the involved subsystems?",vanilla,1,3+-hop,False,True,"All claims about FCC-034, its GPS timing need, and dependency on PWR (as the common power system), are directly supported by the retrieved contexts, and absence of explicit GPS power allocation is cor"
"When the PMC is qualified to the specified DO-160G environment and EMC limits, what GNSS frequencies and constellations must remain operable without interference via DLNK coexistence?",vanilla,1,2-hop,False,True,All claims are directly supported or reasoned from the retrieved contexts without adding external information.
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",agentic-graph,1,2-hop,False,True,"All claims in the answer are traceable to the retrieved contexts, with explicit citations and acknowledgment when data is absent."
Which HIL lost-link test demonstrates verification that the autopilot enters RTB within one second and tracks to the rally point?,agentic-graph,0,1-hop,True,False,"[CDL-006] is mentioned but not cited in [AUTO-039]; otherwise, claims are supported."
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,graphrag,0,1-hop,True,True,All claims about requirement IDs and referenced values are directly supported by the retrieved contexts.
Which flight-control cross-channel data link timing and integrity behavior must BIT monitor to satisfy CBIT consistency-check verification?,agentic-graph,0,1-hop,False,True,"All factual claims are directly supported by the retrieved requirements, specifically FCC-053 and FCC-051, and no requirement IDs or behaviors outside the provided contexts are cited."
Can the flight data recorder capture fuel-state updates at a rate sufficient to support the flight management system’s top-of-climb and top-of-descent recalculation needs?,vanilla,0,2-hop,False,True,Every claim in the answer is directly supported by the retrieved contexts and accurately reflects the lack of requirements on FDR fuel-state logging rate.
How is compliance shown that 10 Hz health-monitoring tasks do not cause the 50 Hz outer-loop guidance law to exceed its 95%-of-cycles 2 ms jitter limit?,graphrag,2,2-hop,True,True,"All claims about requirements, their constraints, and verification methods are directly supported by FCC-014, FCC-015, and FCC-052 in the contexts."
"When weight-on-wheels permits ground maintenance, what authentication must be enforced on the battery management unit’s service interface for firmware updates and calibration?",adaptive,0,2-hop,False,True,The answer only states what is and is not present in the retrieved contexts and does not add unsupported claims.
"Which security requirement referenced by the navigation function ultimately traces to the GPS requirement it satisfies, and how does that navigation requirement connect the two?",agentic,0,3+-hop,True,True,"All claims about the linkage between NAV-028, GPS-023, GPS-022, and SEC-028 are explicitly supported and referenced by the retrieved contexts."
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,graphrag,0,1-hop,True,True,"All claims about APM-037 verifying APM-009, 30 min RTB profile, and 70% DoD are directly supported by the retrieved contexts."
Which asymmetric signature algorithms in the crypto selection table are mandated for verifying loadable software and data signatures?,agentic-graph,1,1-hop,True,True,Both SEC-020 and SEC-017 explicitly state that RSA-3072 or ECDSA-P256 are mandated for digital signature verification on loadable software and data.
"For AeroLynx-X2, how is single-engine-out detection and asymmetric-thrust compensation validated from injected N1 loss through FCC response and operator notification timing?",graphrag,2,2-hop,True,True,"All claims about detection criteria, validation method, FCC response timing, and operator notification are directly supported by the retrieved contexts."
"How does the flight control requirement trace through the data link and flight management functions to the crew interface, and what flight management behavior closes the loop?",agentic,0,3+-hop,False,True,"All claims are supported, with the answer correctly noting missing or indirect traces where context is absent."
How is compliance shown that 10 Hz health-monitoring tasks do not cause the 50 Hz outer-loop guidance law to exceed its 95%-of-cycles 2 ms jitter limit?,agentic,2,2-hop,True,True,"All claims are directly supported by FCC-014 and FCC-015, which state the timing requirements and the non-interference obligation, and no extra details or requirements are added."
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,graphrag,0,1-hop,True,True,"All listed command_id ranges and routing details, as well as the dispatch behaviors, are supported directly by the retrieved contexts."
"If the primary INS attitude stream degrades below required rate or validity, how quickly must the FCC switch to the backup GPS-aided AHRS to maintain flight-control attitude input?",agentic,0,2-hop,True,True,"All claims about switchover conditions, timing, and backup source are explicitly supported by FCC-017 and NAV-015; FCC-050's F_INS_LOSS description and latency are correctly referenced."
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,agentic,0,2-hop,False,True,All claims in the answer are directly supported by the contexts and no unsupported details are added.
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,graphrag,0,1-hop,True,True,"Every factual claim in the answer is supported by the retrieved contexts, which do not show EMS ingesting power-subsystem mode/status at the required rate."
"Which operator command categories must the fuel subsystem accept via the command/data link interface, and how are those commands routed?",adaptive,0,1-hop,True,True,"All command categories and authentication are explicitly listed in FUEL-025, and the absence of FUEL in the CDL routing table is correctly noted based on CDL-035."
"During standby-to-coarse-align motion rejection, what operator alignment-status indication is required on the HMI?",agentic,1,1-hop,True,True,"All claims are supported: INS must annunciate MOTION_DETECTED to operator if motion prevents alignment, and HMI must display INS alignment status including mode, percent-complete, and time-to-ready."
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",adaptive,0,2-hop,False,True,All claims in the answer are directly supported by the retrieved requirements and tables.
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",adaptive,1,1-hop,False,True,Every claim in the answer is supported by the retrieved contexts with cited requirement references and justified limitations.
"If the ground station sends FCC-directed commands at 20 Hz, how are invalid ranges, rates, sequence numbers, and unknown targets handled before reaching control laws?",agentic-graph,0,2-hop,True,True,Every claim in the answer is grounded in and supported by the retrieved requirements and tables.
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",agentic,2,2-hop,True,True,"All claims in the answer are grounded in or logically inferred from the retrieved requirements, with no unsupported details added."
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,agentic-graph,2,1-hop,False,True,The answer accurately states that the retrieved contexts do not contain the FDR or GCS audit/retention requirements needed to assess traceability and provides only claims directly supported by the con
How do the emergency management constraints propagate through power allocation and navigation dependencies to determine the final command/data link behavior?,graphrag,2,3+-hop,False,True,"Every factual claim in the answer is supported directly or by light inference from the retrieved requirements, and the answer correctly notes explicit gaps where contexts lack detail."
"During EMC Category Y coexistence testing with CDL and GPS active, which CDL operational modes should the radar altimeter remain interference-free in while maintaining RA track and PVT output?",graphrag,1,2-hop,False,True,"The answer's claims are directly supported by the retrieved requirements, which do not specify CDL operational modes for the EMC test."
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic-graph,0,1-hop,True,False,"The answer infers and states explicit satisfaction chains between requirements beyond what is literally stated in the contexts; for example, [FCC-023] is said to be 'explicitly linked' to [EMS-006] ba"
"Which flight management function, via the flight data recorder linkage, ultimately traces to the data link requirement, and how is that end-to-end dependency justified across subsystems?",vanilla,0,3+-hop,False,True,"All claims in the answer are directly supported by or cautious about the limits of the retrieved contexts, making no unsupported assertions."
Which INS state publication requirement satisfies the FCC need for 200 Hz inertial data delivery with no more than 5 ms end-to-end latency?,graphrag,1,1-hop,True,True,"[INS-020] explicitly states the INS shall publish the required data at 200 Hz with latency not exceeding 5 ms, which matches the FCC need in [FCC-016]."
"During EMC Category Y coexistence testing with CDL and GPS active, which CDL operational modes should the radar altimeter remain interference-free in while maintaining RA track and PVT output?",agentic,2,2-hop,False,True,All statements are supported by the contexts and avoid unsupported claims about mode-specific EMC testing.
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",graphrag,0,2-hop,True,True,"Every factual claim is directly supported by the provided contexts, with citations matching the referenced requirements and correct interpretation of required rates and validation method."
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,vanilla,0,2-hop,False,True,All claims in the answer are directly supported by FCC-048 and LDG-031 in the retrieved contexts.
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",agentic-graph,0,3+-hop,False,True,"The answer correctly states that the required information about HMI verification, display logic, and cockpit interface tracing is not present in the retrieved contexts."
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,adaptive,1,3+-hop,False,True,"All claims in the answer are supported by the retrieved contexts, including the trace chain and statements about what is absent or missing."
Which test evidence verifies the flight control computer’s 200 Hz inner-loop timing and jitter compliance under nominal and full-payload conditions?,agentic,0,1-hop,True,True,"Every claim in the answer is directly supported by the retrieved contexts, mainly FCC-013 and FCC-052."
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",adaptive,1,3+-hop,False,True,"All requirement IDs, claims about the trace chain, crypto mechanisms, and the loop closure are supported directly and explicitly in the retrieved contexts."
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,agentic-graph,0,2-hop,True,True,"All claims are directly supported by the retrieved requirement contexts, including verification method, configuration during test, pass/fail criteria, and related subsystem requirements."
