query,pipeline,repeat,query_type,orig_gpt41,new_gpt41,new_reason
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",adaptive,1,2-hop,False,False,The answer makes claims about 'N1 reserve limit' and 'takeoff and emergency power' that are not explicitly stated in the retrieved contexts.
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",vanilla,1,3+-hop,False,True,"Every claim in the answer is supported by the provided contexts, specifically linking SEC-003_1 to FCC.FCC-011 and noting the lack of evidence on payload or autonomy requirements."
"When an uplinked flight-plan change is received, what operator-confirmation workflow and full-diff display are required before activation, and what record must be stored afterward?",agentic,0,2-hop,True,True,"All statements about confirmation workflow, full-diff display, and logging requirements are directly supported by the retrieved contexts."
How do the GPS-derived power constraints propagate through command/data handling and back into power requirements to shape the inertial subsystem’s implementation?,agentic-graph,2,3+-hop,False,True,All claims in the answer are directly supported or explicitly scoped as absent based on the retrieved requirements without introducing unstated details.
How does the secure data-link implementation satisfy the automation-level requirement while propagating referenced constraints through automation behavior to the radar subsystem?,adaptive,1,3+-hop,False,True,"Every factual claim in the answer is supported by retrieved contexts, with appropriate caveats about missing links or referenced requirements."
"During a 50 ms Category Z primary-power interruption, how does the specified essential-bus hold-up provision ensure both the INS and FCC remain continuously operational?",graphrag,1,2-hop,True,True,"All claims about hold-up provision, ride-through requirements, and verification for FCC and INS during 50 ms interruption are directly supported by the retrieved contexts."
"After the command link is lost, what warning and command inhibit must the GCS provide while the aircraft returns to the current authenticated rally point?",agentic,0,2-hop,True,True,"All claims about GCS warnings, command inhibit, RTB engagement, and rally point updating are supported by the retrieved contexts."
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,agentic,1,3+-hop,False,False,[SEC-008] is not provided in the retrieved contexts; all factual claims about it are unsupported.
"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",agentic,1,1-hop,True,False,"[GPS-034] is correctly identified as the test requirement, but the answer references [GPS-032], which is not present in the retrieved contexts."
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,adaptive,2,1-hop,True,False,The claim about the downstream Autopilot timing discipline and its interaction with FCC outer-loop timing is not supported by the retrieved contexts.
Does the primary essential bus power specification satisfy the flight control computer’s 28 VDC interface and undervoltage requirements?,graphrag,1,1-hop,True,True,Every claim in the answer is explicitly supported and reasoned from the retrieved contexts.
Which published fuel-status data does the flight control computer rely on to constrain commanded thrust to available fuel?,adaptive,0,1-hop,False,True,The answer accurately states that no retrieved requirement defines published fuel-status data or FCC reliance on such data for thrust constraint.
How does the command path from the ground station to the flight control computer ensure invalid commands are rejected before reaching the control laws?,adaptive,0,2-hop,True,True,"All claims about FCC command validation, rejection, Command_Validation table criteria, and interface-level enforcement before the control laws are supported by the retrieved contexts."
Which HIL lost-link test demonstrates verification that the autopilot enters RTB within one second and tracks to the rally point?,agentic-graph,0,1-hop,False,False,The claim that AUTO-039 checks RTB engagement 'within 1 s' is not explicitly supported in the contexts; only general engagement at timeout and track to rally point are mentioned.
Which avionics processing requirement traces through the security and built-in test specifications to the inspection criterion it ultimately satisfies?,vanilla,0,3+-hop,False,False,"The answer refers to ##ENG.ENG-037 and connects it to inspection criteria, but the retrieved contexts do not provide the actual text of ##ENG.ENG-037 or an explicit inspection criterion, making some t"
"What cryptographic authentication must the APM use when accepting autopilot mode engagement requests, and which autonomous modes are exempt from explicit operator engagement?",vanilla,1,2-hop,True,True,"All claims are supported by AUTO-006, which references authentication per ##SEC.SEC-010 and states DAA RESOLUTION and RTB modes are exempt from explicit operator engagement."
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",adaptive,2,3+-hop,False,True,All claims in the answer are traceable to the retrieved EPS and ICE requirements; recorder behavior is described only up to what is explicitly given in context.
"If the command link is lost long enough to trigger return-to-base, can the aircraft autonomously use the current operator-updated rally point without prior operator engagement?",adaptive,2,2-hop,True,True,All claims about autonomous RTB to an operator-updated rally point after lost-link timeout are traceable to the retrieved requirements.
"During high-power takeoff, how does the FCC’s reserve N1 limiting affect pitch-rate reduction logic and the engine-status data published to downstream systems?",vanilla,2,2-hop,False,True,All claims are explicitly supported by the retrieved requirement chunks or carefully note absence of coverage on engine-status data interfaces.
Which communications requirement is ultimately satisfied by the fuel-system requirement through the referenced security control and command/data link implementation chain?,agentic-graph,2,3+-hop,True,False,There is no support in the contexts for the claim that [FUEL-025] (fuel-system requirement) ultimately satisfies [COMM-019] (COMM voice-encryption requirement) through the security/control chain; no d
"During takeoff-to-climb transition, when may the FCC enable the inner-loop climb schedule given sustained climb rate, both main-gear WoW indications, sensor voting, and input debounce?",vanilla,2,2-hop,True,True,"All claims are directly supported by the retrieved requirements regarding climb rate, WoW inputs, debounce, sensor voting, and mode transition timing."
Which flight management 4D trajectory and RTA capability underpins the flight control computer’s continuous conformance monitoring and deviation alerting for civil operations?,graphrag,1,1-hop,True,True,"All claims about FMS 4D trajectory with RTA, FCC conformance monitoring, deviation limits, and NAV Fusion roles are directly supported by the retrieved contexts."
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,graphrag,0,1-hop,True,True,Both claims about which requirement is verified and the 30 min at 70% DoD supporting RTB are directly supported by the retrieved contexts.
"Which security requirement referenced by the navigation function ultimately traces to the GPS requirement it satisfies, and how does that navigation requirement connect the two?",agentic,0,3+-hop,True,True,"All claims are grounded in contexts, which show NAV-028 referencing GPS spoof detection and SEC.SEC-028, and GPS-023 referencing SEC.SEC-028; absence of further details on GPS.GPS-022 or SEC.SEC-028 i"
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,vanilla,0,2-hop,False,True,Every claim in the answer is supported or directly restates information from the retrieved contexts.
"What EPS status publication rate is required for the flight data recorder, and which endpoint requirement defines that interface?",agentic-graph,1,1-hop,True,True,All factual claims are directly supported and referenced in the retrieved contexts.
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",graphrag,2,2-hop,True,True,"All claims are directly supported by the retrieved contexts, with correct references to requirement IDs and their relationships."
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,vanilla,2,2-hop,False,True,"All claims in the answer are directly supported by the retrieved context, which lacks relevant verification information."
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",adaptive,2,3+-hop,False,True,"Every claim in the answer is supported by the retrieved requirements, and the answer explicitly notes where information is missing."
Which test evidence verifies the flight control computer’s 200 Hz inner-loop timing and jitter compliance under nominal and full-payload conditions?,agentic,0,1-hop,True,True,All claims are directly supported by FCC-052 and FCC-013 in the retrieved contexts.
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,adaptive,2,1-hop,True,True,"Every claim is traced directly to the retrieved contexts, with no extra detail added."
Which navigation requirement is ultimately supported by the security control satisfied by the GPS timing-reference requirement cited by the higher-level GPS requirement?,graphrag,2,3+-hop,False,True,Each link in the requirement satisfaction chain is supported by explicit references in the provided contexts.
"After the command link is lost, what warning and command inhibit must the GCS provide while the aircraft returns to the current authenticated rally point?",agentic,1,2-hop,True,True,"All factual claims are directly supported by GCS-007, and the answer correctly notes the absence of rally point details."
"For Stratos-7 max-brake-energy landings, how must brake cooling and software assurance align with the landing gear and braking specification?",graphrag,0,2-hop,True,True,"All claims about brake cooling, software assurance, and requirement IDs are supported by the provided contexts."
Can the flight data recorder capture fuel-state updates at a rate sufficient to support the flight management system’s top-of-climb and top-of-descent recalculation needs?,vanilla,0,2-hop,False,True,"Every factual claim is supported by the contexts, including FMS and fuel update rates, and the absence of FDR fuel-state recording requirements."
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic-graph,1,3+-hop,False,True,All claims are grounded directly in the retrieved requirements and refrain from adding details beyond them.
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic,2,2-hop,False,True,"All claims are supported or appropriately hedged based on the retrieved context, specifically GPS-029."
Which HMI requirement defines the suspend/resume controls and state indication needed to support the FMS suspended-mode resume behavior?,graphrag,1,1-hop,True,True,All claims reference content directly supported by the retrieved requirement contexts.
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",agentic,2,2-hop,True,True,"All claims about BATT_ONLY declaration, RTB to AUTO issuance, bus/load transitions, and test demonstration are directly supported by the retrieved contexts."
Which flight data recorder requirement is ultimately referenced by the emergency monitoring requirement cited by the autonomous function verification requirement?,graphrag,2,3+-hop,False,True,The answer accurately states there is no FDR requirement referenced by EMS-006 in the retrieved contexts.
"How does the flight control requirement trace through the data link and flight management functions to the crew interface, and what flight management behavior closes the loop?",agentic,0,3+-hop,False,True,All claims are strictly supported by the retrieved contexts and requirement IDs; no extra details are added beyond explicit references.
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,agentic-graph,0,1-hop,True,True,"All claims about touchdown accuracy, verification approach, simulated conditions, and CAT I limits are explicitly supported by the contexts."
How is compliance shown that 10 Hz health-monitoring tasks do not cause the 50 Hz outer-loop guidance law to exceed its 95%-of-cycles 2 ms jitter limit?,agentic,2,2-hop,True,True,"All claims are supported: FCC-014 defines the jitter requirement, FCC-015 guarantees health-monitoring tasks do not violate jitter bounds, and no test method or verification requirement for FCC-015 is"
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,agentic,1,1-hop,False,True,The answer correctly states that the retrieved contexts only concern ADS air-data requirements and do not mention SAR mode or operator authorisation for transmitting states.
"Which flight management interface requirement traces through the security control to satisfy the top-level flight management requirement, and what end-to-end rationale links them?",adaptive,0,3+-hop,False,True,"All claims about requirement trace, interface controls, security controls, and operator interaction are directly supported by the retrieved contexts."
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,adaptive,2,1-hop,True,False,"The claim that APM-009 'supports the return-to-base profile [APM-009]' is not supported verbatim; APM-009 supports the RTB profile per ##AUTO.AUTO-022, not APM-009 itself."
Does the primary essential bus power specification satisfy the flight control computer’s 28 VDC interface and undervoltage requirements?,agentic,0,1-hop,True,True,"All claims about voltages, bus types, and requirement references are directly supported or carefully noted as missing from the retrieved contexts."
Which application module requirement provides the 1 Hz battery state-of-charge data that the power subsystem uses to inhibit NORMAL mode entry below 85%?,adaptive,2,1-hop,False,True,"The answer accurately states that the retrieved contexts do not specify a requirement for 1 Hz battery state-of-charge data, the application module source, or the NORMAL mode inhibition below 85%."
"During the fault-injection mode-transition test, when battery-only operation is entered after generator and APU failures, which loads must remain powered and which bus ties must change state?",graphrag,2,2-hop,True,True,"All claims (loads retained, bus tie actions, and mode logic) are directly supported by requirements EPS-006, PWR-032, EPS-011, PWR-007, and APM-010 in the retrieved contexts."
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic-graph,2,3+-hop,True,True,Every claim in the answer is supported or caveated by the retrieved context; no requirement or behavior is stated beyond what the contexts provide.
How do the automated control requirements trace through the radar subsystem dependencies to justify the final referenced automation constraint across the full chain?,graphrag,0,3+-hop,True,True,"Every factual claim in the answer is directly supported by explicit retrieved requirements and their relationships, and all requirement IDs referenced are present in the contexts."
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",adaptive,1,1-hop,True,True,All claims are directly supported by the retrieved context and accurately reference requirements.
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,graphrag,0,1-hop,True,True,All fields listed and update rate for SAR_STATUS_MSG are expressly stated in SAR-019; BIT-026 connects SAR_STATUS_MSG to BIT health aggregation.
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",adaptive,1,3+-hop,False,True,Every factual claim in the answer is directly supported by the retrieved contexts and uses only requirement IDs present therein.
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,adaptive,0,2-hop,True,True,"All claims are supported by the retrieved contexts, including requirements, test logic, and the connection between NAV-035, NAV-007, and INS-013; the caveat about annunciation is accurate per the text"
"When the PMC is qualified to the specified DO-160G environment and EMC limits, what GNSS frequencies and constellations must remain operable without interference via DLNK coexistence?",adaptive,1,2-hop,False,True,"All claims in the answer are directly supported by the retrieved contexts, which specify coexistence with GPS but do not mention GNSS frequencies or constellations."
"For secure UHF voice operation, what encryption/authentication scheme and key-rotation policy apply, and what happens if no valid key is loaded?",graphrag,2,2-hop,True,True,"All claims are directly supported by the retrieved contexts, with correct citations and appropriate limitations noted."
"In linked mode, what ground-station command latency supports the command-data link’s 20 Hz command reception and downstream routing?",agentic-graph,1,1-hop,True,True,"All latency values and limitations are directly supported by the retrieved requirements, and the answer appropriately highlights unsupported claims regarding 20 Hz."
Which flight management 4D trajectory and RTA capability underpins the flight control computer’s continuous conformance monitoring and deviation alerting for civil operations?,agentic,0,1-hop,True,True,"All factual claims in the answer are directly supported by the retrieved contexts, with accurate citations and no extraneous details."
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",graphrag,2,2-hop,True,True,"All claims about which loads must drop, which must remain, and bus/voltage requirements during SINGLE_GEN transition are explicitly supported by the retrieved contexts and tables."
"Which control law requirement, ultimately linked from the fuel system requirement through the payload design trace, is referenced by the same control document and then traced onward to the flight control computer?",graphrag,1,3+-hop,False,True,"All claims in the answer are supported directly by the contexts, including the lack of the required trace and document-level references."
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",agentic,1,3+-hop,True,True,"All claims about requirement traceability, end-to-end dependency, and the limitations of the retrieved context are substantiated by the provided requirements."
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,vanilla,2,3+-hop,True,False,"The answer adds details about requirement relationships (e.g., links among requirements, dependencies on SEC-010) not provided explicitly in the retrieved contexts."
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,graphrag,0,3+-hop,False,True,"All claims about SEC-010, FMS-022, CDL-030, CDL-012, and SEC-022 are directly supported by the contexts."
"If the ground station sends FCC-directed commands at 20 Hz, how are invalid ranges, rates, sequence numbers, and unknown targets handled before reaching control laws?",agentic-graph,0,2-hop,False,True,"All claims about validation of range, rate, sequence number, and limits are directly supported by FCC-031 and FCC-038; lack of explicit information on unknown target handling is also faithfully descri"
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,vanilla,0,3+-hop,False,True,"All claims are supported by the retrieved contexts, with correct identification of content and explicit acknowledgment of the lack of a relevant flight dynamics verification requirement."
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,agentic,2,3+-hop,False,True,The answer correctly states that the specific autonomy requirement and any satisfaction/trace links are not present in the retrieved contexts.
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",adaptive,2,1-hop,True,True,All claims in the answer are directly supported by EMS-034 in the retrieved contexts.
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",adaptive,1,3+-hop,True,True,All claims about the dependency chain from inertial/GPS through NAV to FDR position recording are directly supported by the retrieved contexts.
"During the fault-injection mode-transition test, when battery-only operation is entered after generator and APU failures, which loads must remain powered and which bus ties must change state?",agentic,1,2-hop,False,False,The claim regarding explicit operator command for P3-P6 load reconnection after BATT_ONLY is not supported for this test context in the retrieved requirements.
Which flight data recorder requirement captures APM battery/APU data around fault transitions to support the APU health exceedance shutdown logging requirement?,agentic,2,1-hop,True,True,All claims are explicitly supported by FDR-030 and APM-023 in the contexts.
How do the navigation power allocation constraints propagate through the command/data link back into power management and ultimately affect the flight control computer interface requirements?,vanilla,0,3+-hop,False,True,"Every claim in the answer is grounded in the retrieved contexts or explicitly notes the absence of relevant requirements, without adding unsupported details."
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",adaptive,1,2-hop,False,True,All claims in the answer are directly supported by the retrieved requirements and no unsupported details are added.
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",adaptive,2,2-hop,False,True,"All claims about 60 min HIL extraction verification, confirming parameter presence and cadence, and distinction between SATCOM and flight recorder requirements are directly supported by FDR-070 and EM"
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,agentic,2,3+-hop,False,True,All claims in the answer are grounded in the provided contexts and correctly note the missing information.
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",agentic-graph,0,3+-hop,False,True,All claims about the SEC-035 and ENG-037 trace chain and its closed loop are directly supported by the retrieved contexts.
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",vanilla,1,3+-hop,True,True,"All claims in the answer are supported by the retrieved contexts, including the absence of a flight control requirement and the described dependencies between GPS, INS, and NAV modes."
"Which data-link requirement ultimately constrains the security and EMS references inherited by the automatic function, and how does that end-to-end trace propagate across those subsystems?",graphrag,1,3+-hop,False,True,"All claims are directly supported by the retrieved requirements, and references are accurately traced across subsystems using the provided context."
"When flying an LPV or LNAV/VNAV approach, what SBAS processing and resulting GPS-aided NAV accuracy must be maintained, and what minima remain if SBAS is lost?",agentic-graph,0,2-hop,False,True,"All claims in the answer are supported by the context, which does not provide specific approach requirements and only mentions horizontal NSE with GPS/SBAS in NAV-034."
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",agentic-graph,2,3+-hop,False,True,"All claims about FDR mode-transition logging, navigation fusion, and the lack of explicit FDR positioning data requirements are directly supported by the retrieved contexts."
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",adaptive,0,2-hop,False,True,"The answer accurately states that the retrieved contexts do not contain information about mandatory engine-parameter logging or engine status message fields or rates, and it only references informatio"
How does payload-bay thermal management need to accommodate the SAR’s platform-specific steady-state and transmit-pulse power loads while keeping sensor electronics within operating range?,agentic,0,2-hop,True,True,"All factual claims (SAR steady-state and pulse loads, thermal management coordination, cold-plate thermal limits, and lack of more detailed control law) are supported by the retrieved contexts."
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",graphrag,2,2-hop,True,True,"Every claim is explicitly grounded in the retrieved contexts about EMS_STATUS_MSG publication, HIL data extraction verification, relevance of parameter lists, and recorder behavior for other messages;"
"What top-level built-in test objective ultimately traces through the software requirement and logic design into the command/data link implementation, and what downstream design obligation does it impose?",adaptive,0,3+-hop,False,True,"All claims in the answer are directly supported by the contexts, and the answer does not invent a top-level BIT objective where it is absent."
Can the GCS uplink a flight plan change over the command data link while requiring operator confirmation before the FMS activates it?,agentic-graph,1,2-hop,False,True,All claims in the answer are strictly supported by the retrieved contexts or logical absence thereof.
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",vanilla,0,2-hop,True,True,"All claims about N1 limits, pitch-rate reduction, and their coordination are explicitly supported by the retrieved requirements."
Which navigation requirement is ultimately supported by the security control satisfied by the GPS timing-reference requirement cited by the higher-level GPS requirement?,agentic,1,3+-hop,True,True,The answer accurately states that the full cited trace from security control to navigation requirement does not appear in the retrieved requirements.
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",adaptive,2,2-hop,False,True,"All claims and statements in the answer are directly referenced from the retrieved contexts, and the answer remains within the limits of provided information."
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,graphrag,0,2-hop,True,True,"All claims are supported directly by the retrieved requirements, with no added unsupported details."
"For AeroLynx-X2, how is single-engine-out detection and asymmetric-thrust compensation validated from injected N1 loss through FCC response and operator notification timing?",graphrag,2,2-hop,True,True,"All procedural steps and performance claims about detection trigger, test method, FCC detection timing, compensation, and notification are explicitly verified or inferable from the retrieved contexts."
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,adaptive,2,1-hop,True,True,"All claims, including touchdown accuracy, verification method, wind conditions, test count, and CAT I certification parameters, are directly supported by the provided contexts."
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",vanilla,2,3+-hop,False,True,"All factual claims are supported by the provided contexts, and the answer notes the limitations explicitly."
"When a validated DAA advisory arrives, how quickly must the GCS alert the crew, and what manoeuvre rates can the autopilot command in resolution mode?",vanilla,1,2-hop,True,True,"All timing, actions, and manoeuvre rates are supported by the retrieved contexts; requirement IDs are correct and referenced accurately."
"Does the flight-plan upload path use the same public-key signature controls as field firmware updates over MBIT, including GCS countersignature and rejection of invalid, expired, or revoked loads?",vanilla,2,2-hop,True,True,"Every claim is grounded in the contexts, and limitations are properly noted where information about MBIT updates is absent."
"Which operator command categories must the fuel subsystem accept via the command/data link interface, and how are those commands routed?",adaptive,0,1-hop,False,True,"The answer accurately states that the retrieved contexts do not contain any information about the fuel subsystem or its command routing, and references ICE subsystem facts only present in the contexts"
"In the 60-minute HIL recorder coverage check, how is compliance shown for the autopilot mode parameter sourced from the autopilot annunciation output at 2 Hz?",agentic-graph,0,2-hop,False,True,All claims are either directly stated in the contexts or the absence of specific coverage/verification requirements is correctly identified.
"If an operator commands an emergency return or diversion, what encryption, authentication, and key-validity conditions must the communications link and secure UHF voice satisfy before execution?",agentic,1,2-hop,False,True,All claims are directly grounded in the retrieved contexts and no unsupported requirements are introduced.
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",agentic-graph,1,2-hop,False,True,"The answer correctly states that SoC data path and update rate are not specified, and the description of SoC monitoring and mode-entry constraints accurately reflects the retrieved requirements withou"
"Which APM requirement is ultimately traced from the EPS power-distribution requirement through the intermediate EPS dependencies, and what system function does that end requirement govern?",graphrag,0,3+-hop,False,True,"Every claim about the trace from PWR-032 through EPS-006 to APM-015 is supported by the contexts, and the description of the governed function is based on EMS-016."
Which asymmetric signature algorithms in the crypto selection table are mandated for verifying loadable software and data signatures?,agentic-graph,1,1-hop,True,True,Both SEC-017 and SEC-020 support that RSA-3072 or ECDSA-P256 are mandated for verifying loadable software and data signatures.
"How does the security requirement propagate through built-in test and power into the instrumentation requirement, and what referenced security dependency must also be considered?",vanilla,2,3+-hop,False,True,"All claims interpret or directly quote the retrieved contexts, without unsupported detail or requirement IDs, and correctly cite TVRA, regression testing, and partition guarding as grounded mechanisms"
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",vanilla,0,2-hop,True,True,"All claims are directly supported by the retrieved contexts, specifically FMS-001 and NAV-001."
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic-graph,1,2-hop,True,True,"All claims regarding multi-factor authentication, enforcement at relevant maintenance interfaces, and the specific ports are directly supported by the provided contexts."
"How does the two-aircraft live-network separation test demonstrate the coordinated-flight function is supported by guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits?",vanilla,1,2-hop,False,True,All claims in the answer are directly traceable to retrieved contexts and do not add unsupported information.
What upstream GNSS timing output and interfaces justify the navigation fusion function’s 1 Hz bus time-synchronisation service and GPS-derived accuracy source?,agentic-graph,1,1-hop,True,True,"All claims (timing outputs, interfaces, frequencies, accuracy, platform carriage, and justification links) are explicitly supported or directly inferable from the retrieved requirements."
"During standby-to-coarse-align motion rejection, what operator alignment-status indication is required on the HMI?",agentic,1,1-hop,True,True,"All claims, including MOTION_DETECTED annunciation and alignment display details, are explicitly supported by INS-006 and HMI-070."
How is compliance shown that 10 Hz health-monitoring tasks do not cause the 50 Hz outer-loop guidance law to exceed its 95%-of-cycles 2 ms jitter limit?,graphrag,2,2-hop,True,True,"All claims are directly supported by FCC-014, FCC-015, FCC-052, and AUTO-011 as shown in the retrieved contexts."
"During an MBIT firmware update, how should invalid or expired signature detection drive FMS mode transition and allowable navigation capability?",agentic-graph,0,2-hop,False,True,The answer only states what is and is not present in the retrieved contexts and does not add unsupported details.
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",graphrag,0,2-hop,False,True,"Every claim in the answer is supported or explicitly linked to the retrieved requirements; RATE, data content, roles of FUEL and FCC engine messages, and FMS verification are all correctly described o"
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,agentic,0,2-hop,False,True,"Every claim in the answer is directly supported by FCC-048 and FCC-053, and it correctly notes the lack of verification detail in the contexts."
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",adaptive,0,3+-hop,True,True,"Every claim in the answer is directly supported by requirements [FDR-004], [FDR-016], [NAV-008], [INS-013], [INS-014], [GPS-006], [GPS-008], and [FDR-022] as provided in the retrieved contexts."
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic,0,2-hop,False,True,All claims are supported or carefully limited to what is provided by GPS-029.
"In ground mode, what requirement defines the authorized control-surface command path, and which ground system requirement implements that interface?",agentic,2,1-hop,True,True,"All claims are directly supported by FCC-007, which defines the command path and references GCS.GCS-022 as the interface, with no unsupported content added."
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic,0,1-hop,False,True,The answer accurately reflects that the retrieved contexts contain no flight data recorder or fault-window capture requirements and grounds all claims directly in the provided requirement text.
"How would the 60-minute HIL data review confirm the recorder captures BIT fault information from the mandatory parameter set, given the subsystem’s published health-status message details?",vanilla,1,2-hop,False,True,"All claims in the answer are directly supported by the retrieved requirements, with no details added or contradicted."
"For ground-maintenance fault-injection on the power subsystem via the BIT maintenance interface, what operator authentication is required before BPCU commands are accepted?",adaptive,1,2-hop,False,True,"All claims are directly supported by the retrieved contexts, and limitations/unknowns are accurately stated without unsupported additions."
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,graphrag,2,3+-hop,True,False,"The answer claims AUTO-006 'satisfies SEC-010', but the context says 'Satisfies: ##SEC.SEC-010' (not SEC-010), and does not link SEC-010 to any referenced security control; the 'trace path' adds unsup"
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,agentic,2,2-hop,False,True,All claims in the answer acknowledge absences in the retrieved contexts and only restate requirements related to GNSS from the contexts.
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,graphrag,0,1-hop,True,True,All claims are found directly in the retrieved contexts SEC-017 and SEC-005.
"How is a suspected GPS spoofing event detected in the inertial filter, handled in navigation fusion, and propagated to security monitoring and logging?",adaptive,1,2-hop,True,True,"All claims are directly supported by the retrieved requirements, with no additional unsupported details added."
"Which flight-control initialization constraint governs the termination-mode full nose-down, throttle-cut command before subsequent recovery commands are rejected?",vanilla,0,1-hop,True,True,Each factual claim and cited requirement is directly supported by the retrieved contexts.
