query,pipeline,repeat,query_type,orig,pass_a,pass_b
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",agentic-graph,1,2-hop,False,False,False
Which HIL lost-link test demonstrates verification that the autopilot enters RTB within one second and tracks to the rally point?,agentic-graph,0,1-hop,False,False,False
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,graphrag,0,1-hop,False,True,True
Which flight-control cross-channel data link timing and integrity behavior must BIT monitor to satisfy CBIT consistency-check verification?,agentic-graph,0,1-hop,True,False,False
Can the flight data recorder capture fuel-state updates at a rate sufficient to support the flight management system’s top-of-climb and top-of-descent recalculation needs?,vanilla,0,2-hop,False,False,False
How is compliance shown that 10 Hz health-monitoring tasks do not cause the 50 Hz outer-loop guidance law to exceed its 95%-of-cycles 2 ms jitter limit?,graphrag,2,2-hop,False,True,False
"When weight-on-wheels permits ground maintenance, what authentication must be enforced on the battery management unit’s service interface for firmware updates and calibration?",adaptive,0,2-hop,True,True,True
"Which security requirement referenced by the navigation function ultimately traces to the GPS requirement it satisfies, and how does that navigation requirement connect the two?",agentic,0,3+-hop,False,False,False
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,graphrag,0,1-hop,True,True,True
Which asymmetric signature algorithms in the crypto selection table are mandated for verifying loadable software and data signatures?,agentic-graph,1,1-hop,False,True,True
"For AeroLynx-X2, how is single-engine-out detection and asymmetric-thrust compensation validated from injected N1 loss through FCC response and operator notification timing?",graphrag,2,2-hop,True,True,False
"How does the flight control requirement trace through the data link and flight management functions to the crew interface, and what flight management behavior closes the loop?",agentic,0,3+-hop,False,False,False
How is compliance shown that 10 Hz health-monitoring tasks do not cause the 50 Hz outer-loop guidance law to exceed its 95%-of-cycles 2 ms jitter limit?,agentic,2,2-hop,False,False,False
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,graphrag,0,1-hop,True,True,True
"If the primary INS attitude stream degrades below required rate or validity, how quickly must the FCC switch to the backup GPS-aided AHRS to maintain flight-control attitude input?",agentic,0,2-hop,True,True,True
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,agentic,0,2-hop,False,True,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,graphrag,0,1-hop,True,True,True
"Which operator command categories must the fuel subsystem accept via the command/data link interface, and how are those commands routed?",adaptive,0,1-hop,True,True,True
"During standby-to-coarse-align motion rejection, what operator alignment-status indication is required on the HMI?",agentic,1,1-hop,True,False,True
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",adaptive,0,2-hop,False,False,False
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",adaptive,1,1-hop,False,True,True
"If the ground station sends FCC-directed commands at 20 Hz, how are invalid ranges, rates, sequence numbers, and unknown targets handled before reaching control laws?",agentic-graph,0,2-hop,True,False,True
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",agentic,2,2-hop,False,False,False
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,agentic-graph,2,1-hop,False,False,False
How do the emergency management constraints propagate through power allocation and navigation dependencies to determine the final command/data link behavior?,graphrag,2,3+-hop,True,False,False
"During EMC Category Y coexistence testing with CDL and GPS active, which CDL operational modes should the radar altimeter remain interference-free in while maintaining RA track and PVT output?",graphrag,1,2-hop,False,True,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic-graph,0,1-hop,False,False,False
"Which flight management function, via the flight data recorder linkage, ultimately traces to the data link requirement, and how is that end-to-end dependency justified across subsystems?",vanilla,0,3+-hop,False,True,True
Which INS state publication requirement satisfies the FCC need for 200 Hz inertial data delivery with no more than 5 ms end-to-end latency?,graphrag,1,1-hop,True,True,True
"During EMC Category Y coexistence testing with CDL and GPS active, which CDL operational modes should the radar altimeter remain interference-free in while maintaining RA track and PVT output?",agentic,2,2-hop,True,True,True
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",graphrag,0,2-hop,False,True,False
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,vanilla,0,2-hop,False,True,True
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",agentic-graph,0,3+-hop,True,False,True
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,adaptive,1,3+-hop,False,False,False
Which test evidence verifies the flight control computer’s 200 Hz inner-loop timing and jitter compliance under nominal and full-payload conditions?,agentic,0,1-hop,True,True,True
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",adaptive,1,3+-hop,False,True,True
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,agentic-graph,0,2-hop,False,True,True
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",graphrag,2,2-hop,False,False,False
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",agentic-graph,0,2-hop,False,True,True
"For Stratos-7 max-brake-energy landings, how must brake cooling and software assurance align with the landing gear and braking specification?",graphrag,1,2-hop,True,True,True
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,adaptive,2,1-hop,True,False,False
Which avionics processing requirement traces through the security and built-in test specifications to the inspection criterion it ultimately satisfies?,vanilla,0,3+-hop,False,True,True
"How would the 60-minute HIL data review confirm the recorder captures BIT fault information from the mandatory parameter set, given the subsystem’s published health-status message details?",vanilla,1,2-hop,False,False,False
"For the Skyrunner-T1 test configuration, how is the FCC’s duplex single-LRU architecture derived from the platform-dependent independent-lane requirement?",vanilla,1,1-hop,False,False,False
Which power hold-up requirement ensures the EMS maintains state through a 50 ms essential-bus interruption?,agentic,2,1-hop,False,True,True
"How is a malformed GCS command screened against table-defined limits, sequence, and authentication before rejection and prevention of propagation into the control laws?",agentic-graph,0,2-hop,False,True,True
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,vanilla,0,1-hop,True,True,True
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,graphrag,1,1-hop,False,False,False
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic-graph,1,2-hop,False,True,True
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,graphrag,0,1-hop,False,False,False
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",vanilla,1,2-hop,True,True,False
"What EPS status publication rate is required for the flight data recorder, and which endpoint requirement defines that interface?",agentic-graph,1,1-hop,True,True,True
What test evidence shows linked-mode pilot commands meet the ground-station latency requirement while being received and routed by the command data link?,vanilla,0,2-hop,False,True,True
"How do the data link crypto module and key-retention requirements support authenticated autonomous autopilot mode engagements, particularly for exceptions like DAA Resolution and RTB?",agentic,2,2-hop,True,False,False
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic-graph,1,3+-hop,False,True,True
"After the command link is lost, what warning and command inhibit must the GCS provide while the aircraft returns to the current authenticated rally point?",agentic,0,2-hop,True,True,True
"When flying an LPV or LNAV/VNAV approach, what SBAS processing and resulting GPS-aided NAV accuracy must be maintained, and what minima remain if SBAS is lost?",adaptive,2,2-hop,False,True,True
Which flight management 4D trajectory and RTA capability underpins the flight control computer’s continuous conformance monitoring and deviation alerting for civil operations?,graphrag,1,1-hop,True,True,True
Which power requirement provides the continuously available hold-up energy the CDL relies on to ride through a 50 ms Category Z interruption?,graphrag,1,1-hop,False,False,False
"How do the automated control functions trace through security and emergency management constraints to the cockpit display behavior, and what end-to-end dependency does that imply?",graphrag,2,3+-hop,True,False,False
"Which security requirement referenced by the autonomy control requirement is satisfied by the same control requirement and, through that linkage, points to the downstream autonomy interface requirement?",agentic-graph,2,3+-hop,False,True,True
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic-graph,2,3+-hop,False,False,False
"Which display-level operator need ultimately traces through SAR processing and payload design to both EO/IR and radar sensing constraints, and what subsystem dependencies drive that allocation?",vanilla,0,3+-hop,False,False,False
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,adaptive,2,1-hop,False,False,False
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,agentic,2,3+-hop,False,True,True
How do the automated control requirements trace through the radar subsystem dependencies to justify the final referenced automation constraint across the full chain?,agentic-graph,2,3+-hop,True,False,False
Which flight data recorder requirement is ultimately referenced by the emergency monitoring requirement cited by the autonomous function verification requirement?,graphrag,2,3+-hop,False,False,False
"Which flight control computer requirement is ultimately referenced by the power verification path through the communications data link, and what upstream power requirement does it trace back to?",adaptive,0,3+-hop,True,False,False
"During an MBIT firmware update, how should invalid or expired signature detection drive FMS mode transition and allowable navigation capability?",agentic-graph,0,2-hop,True,False,False
Which flight data recorder requirement is verified by the flight control computer’s obligation to log every mode transition for the last 50 flight hours?,vanilla,1,1-hop,True,True,True
"If a condition escalates to WARNING, how quickly must the ground station annunciate it, and what audio cue and repeat behavior are required?",agentic,2,2-hop,False,False,False
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",agentic,2,2-hop,True,True,False
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,vanilla,0,2-hop,True,False,False
Which flight control computer requirement ultimately traces the EMS command/data link interface constraint back to the originating EMS behavior requirement?,agentic-graph,0,3+-hop,False,True,True
How do the navigation power allocation constraints propagate through the command/data link back into power management and ultimately affect the flight control computer interface requirements?,vanilla,0,3+-hop,True,True,False
Which communications requirement is ultimately fulfilled by the automatic control requirement through the referenced security and command/data link requirements?,agentic-graph,1,3+-hop,False,True,True
"At what rate must the recorder log the communications data link health/status word, given mandatory-parameter native-rate recording and the health word’s own update requirement?",agentic-graph,0,2-hop,False,False,False
Can the GCS uplink a flight plan change over the command data link while requiring operator confirmation before the FMS activates it?,agentic-graph,1,2-hop,False,True,True
"Which flight management interface requirement traces through the security control to satisfy the top-level flight management requirement, and what end-to-end rationale links them?",adaptive,0,3+-hop,False,False,False
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,vanilla,1,1-hop,False,True,True
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",adaptive,2,2-hop,True,False,False
"Does the flight-plan upload path use the same public-key signature controls as field firmware updates over MBIT, including GCS countersignature and rejection of invalid, expired, or revoked loads?",agentic-graph,1,2-hop,False,True,True
"Which GPS requirement traces through the security and emergency-management requirements to ultimately satisfy the navigation requirement, and what end-to-end rationale links them?",agentic-graph,1,3+-hop,False,False,False
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",graphrag,2,2-hop,True,True,True
Which data link requirement is ultimately implicated by the flight control requirement that references a security control via an intermediate control requirement?,vanilla,1,3+-hop,False,True,True
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",adaptive,1,2-hop,False,True,True
"If the operator commands autonomous-flight mode engagement from the ground station, how must the command be routed, and which modes still require explicit authenticated engagement?",adaptive,2,2-hop,False,False,False
Which navigation requirement is ultimately supported by the security control satisfied by the GPS timing-reference requirement cited by the higher-level GPS requirement?,graphrag,2,3+-hop,False,False,False
How does the APM guidance requirement trace through security and built-in test constraints into flight-control behavior and ultimately the landing subsystem requirement?,vanilla,2,3+-hop,False,True,False
"In the 60-minute HIL recorder coverage check, how is compliance shown for the autopilot mode parameter sourced from the autopilot annunciation output at 2 Hz?",agentic-graph,0,2-hop,False,False,False
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,graphrag,0,2-hop,False,False,False
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,agentic,2,1-hop,True,True,True
Which published fuel-status data does the flight control computer rely on to constrain commanded thrust to available fuel?,agentic-graph,2,1-hop,False,True,True
Which HMI requirement defines the suspend/resume controls and state indication needed to support the FMS suspended-mode resume behavior?,graphrag,1,1-hop,True,True,True
What authentication and access conditions must be met to use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT?,agentic-graph,0,2-hop,True,True,True
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,graphrag,2,1-hop,True,False,False
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,graphrag,1,1-hop,True,True,True
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",agentic-graph,2,3+-hop,True,False,False
