query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,answer,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
"For the Skyrunner-T1 test configuration, how is the FCC’s duplex single-LRU architecture derived from the platform-dependent independent-lane requirement?",1-hop,agentic,azure,none,1,23672,6877,692,7569,FCC-003;FCC-001,SKT1-FCC-001;ALX2-FCC-001;STR7-FCC-001;SKT1-FCC-002;SKT1-FCC-004;SKT1-ADS-001;ADS-017;ADS-003;ADS-001;ADS-021;FCC-003;FCC-048;ADS-016;ADS-019;ADS-013,15,3,continue,semantic,,,"For Skyrunner-T1, the platform-specific test requirement tailors the general FCC scope requirement.

- The general requirement says the FCC shall have “two or three independent lanes (channels) depending on platform,” with each lane executing an identical OFP and exchanging state over the CCDL [FCC-003].
- The Skyrunner-T1 instantiation derives from that requirement and specifies the chosen implementation: “a duplex-redundant architecture at DO-178C DAL-B with two lanes in a single LRU and common power feed via the essential bus” [SKT1-FCC-001].

So, on Skyrunner-T1, the “independent lanes” requirement from the common scope is realized as two FCC lanes, but packaged together in one LRU rather than separate chassis [FCC-003][SKT1-FCC-001]. This is a platform-specific derivation: it preserves duplex redundancy at the lane level, while relaxing physical separation compared with platforms like AeroLynx-X2 and Stratos-7, which use separate chassis and independent/distinct power feeds [ALX2-FCC-001][STR7-FCC-001].",True,All factual claims are supported by the cited FCC requirements and platform-specific instantiations in the provided contexts.,True,"All claims about the derivation, platform tailoring, lane implementation, packaging, and comparison to other platforms are supported by the retrieved requirements.",,skipped,True
"What end-to-end requirement flow links the security constraint to the final auto-function behavior, and how do the flight-control and data-link provisions propagate that constraint across subsystems?",3+-hop,agentic,azure,none,0,32035,5682,1402,7084,SEC-014;SEC-008;GCS-008;SEC-015;CDL-030;LDG-025;AUTO-022;GCS-007;FCC-031;CDL-013,SEC-014;FDR-055;LDG-020;COMM-024;CDL-030;SEC-002;GCS-008;SEC-005;SEC-015;SEC-008;CDL-031;LDG-025;FDR-055;CDL-030;GCS-007,15,3,continue,semantic,,,"The retrieved set supports this end-to-end flow:

1. **Top-level security constraint**
   - The system applies **defence-in-depth** between the internet-facing **CDL** and internal avionics buses, using a **dedicated security-partition guard** that enforces allowed command types by **RBAC and flight phase** [SEC-014].
   - The system also enforces **command validation**, rejecting commands with invalid **range, rate, sequence, or authentication** [SEC-008].

2. **Operator-origin security precondition**
   - At the GCS, **every operator must authenticate at login using MFA**, and **no operator commands are accepted prior to successful authentication** [GCS-008].
   - For maintenance/configuration/update paths, authentication is required across maintenance interfaces, including the **FCC maintenance port** [SEC-015].

3. **Data-link propagation of commands**
   - The **CDL receives command frames from the GCS at up to 20 Hz** and dispatches them to the **FCC**, **FMS**, **Autopilot**, and **Payload Manager** according to the routing table [CDL-030].
   - Because CDL is the boundary between external command ingress and avionics distribution, the **SEC-014 guard** and **SEC-008 validation discipline** constrain what may pass onward from CDL into internal subsystems [SEC-014] [SEC-008] [CDL-030].

4. **Flight-control propagation**
   - The **FCC** is one of the commanded recipients from CDL [CDL-030].
   - Downstream, the FCC issues control commands to other aircraft functions; for example, the **LDG subsystem receives gear/NWS commands from the FCC at up to 10 Hz**, and **brake commands at up to 100 Hz** [LDG-025].
   - This shows how the security/validation constraint propagates: external commands are authenticated/validated at ingress, then only routed onward to FCC-controlled functions under the allowed-command policy [SEC-014] [SEC-008] [CDL-030] [LDG-025].

5. **Final auto-function behavior under link loss**
   - On transition to **LOST_LINK**, the **GCS inhibits further command dispatch until reconnection** and **awaits aircraft RTB per AUTO-022** [GCS-007].
   - So the final automatic behavior explicitly visible in this retrieved set is: once link is lost, operator command flow is stopped at the GCS, and the aircraft proceeds under the autonomous **RTB** behavior referenced by **AUTO-022** [GCS-007].

## Relationship across subsystems
- **Security architecture** defines the constraint at the external-to-internal boundary: guard + RBAC + flight-phase filtering [SEC-014].
- **GCS** ensures only authenticated operators can originate commands [GCS-008].
- **CDL** is the transport/distribution point, forwarding command frames at **up to 20 Hz** to FCC/FMS/Autopilot/PLD, so it is where the boundary protection must be applied in practice [CDL-030].
- **FCC and downstream controlled subsystems** inherit that constraint because they only receive commands that survive the security guard and validation checks; LDG is one explicit example [SEC-008] [CDL-030] [LDG-025].
- **Auto-function outcome** under communications failure is enforced at system level by **LOST_LINK** handling: no further operator dispatch, aircraft **RTB** [GCS-007].

## Important limitation
The retrieved context does **not** include the text of **FCC-031**, **CDL-013**, or **AUTO-022**, so I cannot fully reconstruct the detailed internal requirement chain to the “final auto-function behavior” beyond the explicit **RTB reference** in **GCS-007** and the command-validation references in **SEC-008** [SEC-008] [GCS-007].",False,"The answer adds unsupported linkage details about FCC/CDL/internal chain and cites FCC-031, CDL-013, and AUTO-022 as part of the flow without their requirement texts in context.",True,"All claims are explicitly supported by the retrieved requirement contexts or their references, with limitations and missing internal IDs correctly noted.",,skipped,False
"Which HMI requirement implements the FMS uplinked flight-plan change confirmation, including full-diff display before activation?",1-hop,adaptive,azure,none,0,3577,1284,121,1405,HMI-037;HMI-009;HMI-030;FMS-022;HMI-040;HMI-032;HMI-005;HMI-004;AUTO-020;CDL-030;CDL-040;FDR-012;FMS-003;FMS-009;FMS-030,HMI-037;HMI-009;HMI-030;FMS-022;HMI-040;HMI-032;HMI-005;HMI-004;AUTO-020;CDL-030;CDL-040;FDR-012;FMS-003;FMS-009;FMS-030,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,"The implementing HMI requirement is **[HMI-037]**:

- **[HMI-037]**: “The HMI shall require explicit operator confirmation (**two-step**) for uplinked flight-plan modifications per **##FMS.FMS-022**, **displaying the full diff before confirmation**.” [HMI-037]

This is the HMI-side implementation of the FMS behavior in **[FMS-022]**, which requires the uplinked flight-plan modification to receive **explicit operator confirmation before activation**. [FMS-022]",True,All claims are directly supported by HMI-037 and FMS-022 in the provided contexts.,True,"[HMI-037] explicitly requires explicit operator confirmation with full diff display before activation for uplinked flight-plan modifications, matching the question and cross-referencing [FMS-022].",,skipped,True
How does the secure data-link implementation satisfy the automation-level requirement while propagating referenced constraints through automation behavior to the radar subsystem?,3+-hop,vanilla,azure,none,2,12099,610,688,1298,RADAR-025;RADAR-017;CDL-004;SEC-014;CDL-001,RADAR-025;RADAR-017;CDL-004;SEC-014;CDL-001,5,0,,,,,"From the retrieved requirements, the chain is only partially defined.

- The automation-level requirement referenced in the radar context is `##AUTO.AUTO-020`, which is satisfied by the radar-altimeter DAA coupling requirement [RADAR-017] and verified by HIL test [RADAR-025].
- The radar behavior required for that automation function is:
  - coupling to the EOIR/DAA computer for DAA resolution advisory integration [RADAR-017]
  - providing AGL validation for terrain-avoidance resolution manoeuvres per `##AUTO.AUTO-020` [RADAR-017]
  - timely RA AGL cross-check and arming the resolution advisory to AUTO during verification [RADAR-025]

For the secure data-link side, the retrieved constraints are:

- CDL is developed with software at DO-178C DAL-B, RF hardware at DO-254 Level B, and cyber-security assurance per DO-326A/DO-356A at DAL-B [CDL-001].
- Governing references include STANAG 7085, STANAG 4660, STANAG 4586, RTCA DO-362, DO-178C, DO-254, DO-160G, DO-326A, and DO-356A [CDL-004].
- A defence-in-depth architecture is required between the internet-facing BLOS CDL and internal avionics buses, using a dedicated security-partition guard that enforces allowed command types per RBAC and flight phase [SEC-014].

So, based on the retrieved requirements, the best-supported answer is:

- The secure data-link implementation contributes by constraining what commands can propagate from the internet-facing/BLOS CDL into internal avionics, via a dedicated guard with RBAC and flight-phase filtering [SEC-014]. This is the mechanism that would control whether automation-related commands are allowed onto internal buses.
- The automation behavior then appears to drive radar-subsystem behavior through `##AUTO.AUTO-020`, which requires the radar altimeter/EOIR-DAA coupling to provide AGL validation for terrain-avoidance resolution manoeuvres [RADAR-017].
- Verification of that propagated behavior is explicitly at the radar level by HIL injection, demonstrating timely RA AGL cross-check and advisory arming to AUTO [RADAR-025].

What is not present in the retrieved context:

- The actual text of `##AUTO.AUTO-020`
- Any explicit requirement linking CDL security controls directly to `##AUTO.AUTO-020`
- Any explicit requirement showing automation commands originating on the data link and being passed to the radar subsystem

Therefore, I cannot fully show “how the secure data-link implementation satisfies the automation-level requirement” from the provided context alone. The retrieved set supports only this partial trace:

`CDL security constraints / guard [SEC-014, CDL-001, CDL-004]`  
→ constrain internal command propagation  
→ automation function `##AUTO.AUTO-020` (text not retrieved)  
→ radar/EOIR-DAA coupling provides AGL validation [RADAR-017]  
→ HIL verification of AUTO arming and RA AGL cross-check [RADAR-025].

If you can provide the text for `##AUTO.AUTO-020` and any EOIR/DAA or CDL-to-automation interface requirements, I can complete the trace precisely.",False,The answer adds unsupported details such as automation commands originating on the data link and a command-propagation trace to AUTO.AUTO-020 not stated in the retrieved contexts.,True,"All claims in the answer are directly supported or limited per the retrieved requirements, and unsupported parts are correctly identified as requiring additional context.",,skipped,False
Which flight control computer BIT status interface requirement satisfies the BIT aggregation requirement for 1 Hz health reporting to the GCS and FDR?,1-hop,agentic,azure,none,2,18427,5493,466,5959,FCC-047;FDR-005,FCC-015;FCC-047;FCC-009;FCC-016;FCC-012;FCC-043;FCC-006;FCC-051;FCC-017;FCC-029;FCC-041,11,3,continue,semantic,,,"The relevant FCC BIT status interface requirement is [FCC-047].

It states that the FCC shall report BIT-detected failures via the `FCC_BIT_STATUS_MSG` at `1 Hz` to the Vehicle Management Computer and at the nominal FDR recording rate per `##FDR.FDR-005` [FCC-047].

This is the FCC-side requirement that satisfies the BIT aggregation requirement for 1 Hz health reporting, with the reporting path going to the VMC and FDR rather than directly to the GCS [FCC-047].",False,The answer adds an unsupported claim about satisfying a GCS reporting requirement by saying the path is to VMC/FDR rather than directly to the GCS.,True,"All claims are supported by FCC-047, which specifies BIT-detected failure reporting at 1 Hz to VMC and FDR.",,skipped,False
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,agentic-graph,azure,none,0,16888,4177,580,4757,NAV-011;NAV-002;NAV-008;NAV-015;NAV-001,NAV-011;NAV-008;NAV-015;NAV-002;SKT1-NAV-001,5,3,continue,semantic,,,"The retrieved NAV requirements do **not** specify SAR motion-compensation support or absolute geolocation accuracy data needs.

What the context does state is:

- NAV Fusion operates a **federated 21-state Kalman filter** using INS error states, GPS position/velocity residuals, and baro residuals at **10 Hz** [NAV-011].
- NAV covers fusion/arbitration of INS, GPS, ADS, and Radar Altimeter inputs and produces a unified aircraft-state output for downstream consumers [NAV-002].
- If INS position validity is lost for more than **500 ms** with valid GPS, NAV transitions to **AHRS mode** using GPS for position and an attitude-only Kalman filter on IMU raw rates [NAV-008].
- A **reversionary AHRS output** is available when the primary INS fails, for FCC use [NAV-015].
- For Skyrunner-T1, HYBRID mode position accuracy must be **≤ 25 m CEP** with the simplified MEMS INS [SKT1-NAV-001].

So, from the provided requirements, the only explicit timing/publication information is the **10 Hz** fusion update rate [NAV-011], and there is **no published requirement here defining which inertial state variables must be output** for SAR motion compensation or absolute geolocation accuracy. If you want, I can help identify the likely missing requirements set—probably in INS, SAR, or payload interface requirements.",False,The answer adds unsupported claims about publication/update timing and missing SAR/output-variable requirements not stated in the provided contexts.,True,All claims in the answer are fully supported by the retrieved contexts without adding unsupported details.,,skipped,False
Which power hold-up requirement ensures the EMS maintains state through a 50 ms essential-bus interruption?,1-hop,adaptive,azure,none,1,4702,563,223,786,FCC-036;EMS-029;PWR-013;PWR-018;PLD-028,FCC-036;EMS-029;PWR-013;PWR-018;PLD-028,5,0,,,vanilla,R5: numeric_hint + single_module (EMS) → top-K,"The relevant power hold-up requirement is [PWR-013]: the PWR subsystem shall provide hold-up capacitor energy at each essential-bus downstream LRU equivalent to sustaining the LRU's nameplate power for 50 ms during a primary-power interruption [PWR-013].

For EMS specifically, [EMS-029] requires the EMS to sustain the 50 ms power interruption “per [PWR-018]” without loss of state [EMS-029]. However, in the retrieved context, [PWR-018] explicitly allocates hold-up energy for FCC, INS, NAV, CDL, and GPS, and does not name EMS [PWR-018].

So, based on the provided requirements:
- EMS state retention through 50 ms interruption is required by [EMS-029].
- The general power hold-up provision at each essential-bus downstream LRU is [PWR-013].
- The retrieved context does not show an explicit PWR allocation to EMS in [PWR-018] [EMS-029][PWR-018][PWR-013].",False,It adds an unsupported conclusion that PWR-013 is the relevant EMS hold-up requirement; the contexts only tie EMS state retention to EMS-029 via PWR-018.,True,"All claims about requirement IDs, their content, and the allocation/not-allocation of EMS in PWR-018 are supported or directly quoted from the retrieved contexts.",,skipped,False
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,1-hop,graphrag,azure,none,1,5028,1522,175,1697,PWR-015;FDR-001;FDR-005;FDR-028;FDR-030;PWR-026;FDR-022;FDR-008;APM-023;APM-030;BIT-002;EPS-016;FCC-012;FCC-047;FDR-016,PWR-015;FDR-001;FDR-005;FDR-028;FDR-030;PWR-026;FDR-022;FDR-008;APM-023;APM-030;BIT-002;EPS-016;FCC-012;FCC-047;FDR-016,15,0,,,,,"The tracing FDR requirement is **[FDR-028]**.

- **Power-side source requirement:** **[PWR-015]** requires the PWR subsystem to publish real-time power-status telemetry at **10 Hz** and route it to the **FDR** per **##FDR.FDR-028** [PWR-015].
- **FDR-side traced requirement:** **[FDR-028]** states the FDR shall record **PWR_STATUS_MSG** per **##PWR.PWR-015** at **10 Hz** [FDR-028].

Related interface detail: **[PWR-026]** defines that **PWR_STATUS_MSG** is published at **10 Hz** via **MIL-STD-1553B** or **ARINC 429** [PWR-026].",True,"All claims are supported by the cited contexts, and FDR-028 is the traced FDR requirement.",True,"Every claim is directly supported by the retrieved requirements, including IDs, data rates, message names, and interface details.",,skipped,True
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",3+-hop,agentic,azure,none,0,22845,5549,891,6440,FCC-007;FCC-031;SEC-008;GCS-022;AUTO-001;PWR-032;EPS-006;ICE-015,EPS-003;EPS-001;EPS-006;EPS-005;EPS-024;FCC-007;FCC-006;FCC-031;FCC-004;FCC-055;ICE-015;ICE-014;ICE-018;ICE-008;ICE-019,15,3,continue,semantic,,,"From the retrieved set, the traceable flight-control capability is the FCC’s handling of **ground-maintenance control-surface commands received from the GCS**, specifically with **command validation and source restriction**:

- In **GROUND mode**, the FCC may accept control-surface deflection commands **only via the ground-maintenance command path** and must reject commands from autopilot or guidance laws [FCC-007].
- The FCC must **validate every incoming command from the GCS** for **range, rate, and sequence number**, rejecting anything that violates the Command_Validation table and not propagating it to the control laws [FCC-031].
- That validation requirement explicitly **satisfies the security requirement** `##SEC.SEC-008` [FCC-031].
- FCC-007 ties the accepted command source to the **ground-control interface** `##GCS.GCS-022` and excludes `##AUTO.AUTO-001` sources [FCC-007].

However, the retrieved context does **not** show this chain “ultimately satisfy the aircraft power-management requirement.” None of the FCC requirements provided trace to `##PWR.PWR-032` or another power-management requirement. The only retrieved items that satisfy `##PWR.PWR-032` are:

- EPS load-shedding behavior in **BATT_ONLY** mode [EPS-006]
- ICE shedding/deferment of non-critical heater zones during high-power operations [ICE-015]

So, based on the available requirements, the end-to-end constraints we can support are:

1. **Command source constraint:** only GCS ground-maintenance path allowed in GROUND mode [FCC-007]  
2. **Command exclusion constraint:** autopilot/guidance-law surface commands rejected in GROUND mode [FCC-007]  
3. **Command integrity constraints:** range, rate, and sequence-number validation; invalid commands blocked from control laws [FCC-031]  
4. **Security trace:** this validation satisfies `##SEC.SEC-008` [FCC-031]

But I cannot substantiate a further trace from that FCC capability to an **aircraft power-management** requirement from the retrieved context alone.",False,The answer adds an unsupported claim about a ground-control interface trace to GCS.GCS-022 and reframes the question beyond what the contexts explicitly connect to power-management.,True,Every factual claim in the answer is directly supported by the retrieved contexts and requirements; no unsupported links or extra details are introduced.,,skipped,False
"Which communications requirement, linked through the security constraint referenced by the fuel requirement, ultimately traces to the EMS requirement, and what end-to-end dependency does that establish?",3+-hop,agentic,azure,none,1,15770,2979,752,3731,COMM-022;SEC-028;EMS-021;EMS-018,COMM-022;SEC-028;FDR-045;EMS-030;EMS-018;ICE-015;ICE-014;ICE-006;ICE-008;ICE-007;SEC-028;EMS-006;COMM-022;FDR-045;EMS-005,15,0,sufficient,semantic,,,"The communications requirement is [COMM-022].

Trace chain from the provided context:

- The security constraint is [SEC-028], which requires the security-monitor to receive indications from COMM and to coordinate cyber-incident response with `##EMS.EMS-021` [SEC-028].
- The communications requirement in that chain is [COMM-022], requiring a dedicated emergency SATCOM data channel for compact aircraft-state reports at `1 Hz` with `≤ 200 B` frames, independent of the primary CDL [COMM-022].
- That COMM requirement is explicitly satisfied by / traced to [EMS-018], which requires the EMS to maintain an emergency SATCOM telemetry channel at `1 Hz` with `200 B` frames independent of CDL availability [EMS-018].

So the end-to-end dependency established by the retrieved requirements is:

**security monitoring / cyber-incident coordination via [SEC-028] → COMM emergency SATCOM channel [COMM-022] → EMS emergency telemetry implementation [EMS-018].**

In practical terms, this means the emergency communications path used to broadcast aircraft state is not just a COMM function; it is an **EMS-traced capability** that must remain available independent of the primary CDL, while also being covered by the system security-monitor/cyber-response architecture [SEC-028] [COMM-022] [EMS-018].

I do not see the actual “fuel requirement” in the retrieved context, so I cannot verify that specific upstream link directly from the provided requirements.",False,"The answer invents an unshown link from the fuel requirement through SEC-028 to COMM-022, which is not established by the provided contexts.",True,"All claims in the answer are directly supported by the retrieved context requirements [COMM-022], [SEC-028], and [EMS-018], and the answer accurately notes the lack of a directly retrievable 'fuel req",,skipped,False
"During the fault-injection mode-transition test, when battery-only operation is entered after generator and APU failures, which loads must remain powered and which bus ties must change state?",2-hop,agentic,azure,none,2,21607,4274,803,5077,EPS-024;EPS-011;EPS-006;EPS-004;EPS-015,EPS-024;EPS-005;EPS-006;EPS-004;EPS-015;EPS-002;EPS-012;EPS-011,8,3,continue,semantic,,,"During the EPS fault-injection mode-transition test [EPS-024], entry into **BATT_ONLY** after generator and APU failures is governed by [EPS-011] and [EPS-006]:

- **Loads that must remain powered:** only **P1+P2 loads** [EPS-006].
- **Bus ties/contactors that must change state on entry to BATT_ONLY:**
  - **Open all non-essential bus ties** [EPS-006].
  - **Close the battery-to-emergency-bus tie** [EPS-006].

Related behavior:
- BATT_ONLY is declared if **APU start fails within 30 s of command** or if **APU self-shutdown** occurs [EPS-011].
- The broader mode set defines BATT_ONLY as the state where the **battery is the sole source for essential+emergency buses** [EPS-004].
- If returning later from BATT_ONLY to APU_BACKUP or NORMAL, **shed P3-P6 loads must not auto-reconnect**; they require **explicit operator command** [EPS-015].

The retrieved requirements do **not** explicitly state, for this specific transition, the required state of the **APU-to-essential-bus tie** or **generator-to-essential-bus tie** once BATT_ONLY is entered.",False,The answer adds unsupported details about APU start failure/self-shutdown conditions and return-from-BATT_ONLY behavior beyond the asked transition requirements.,True,"All claims about required loads and bus tie states in BATT_ONLY are directly supported by the retrieved contexts, with correct citations and no unsupported details.",,skipped,False
"What top-level built-in test objective ultimately traces through the software requirement and logic design into the command/data link implementation, and what downstream design obligation does it impose?",3+-hop,adaptive,azure,none,1,7580,1504,382,1886,BIT-001;CDL-038;CDL-003;SEC-014;PLD-035;CDL-001;BIT-003;SEC-008;CDL-011;CDL-013;COMM-002;DLNK-002;FCC-031;FCC-040;GCS-031,BIT-001;CDL-038;CDL-003;SEC-014;PLD-035;CDL-001;BIT-003;SEC-008;CDL-011;CDL-013;COMM-002;DLNK-002;FCC-031;FCC-040;GCS-031,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,"The top-level BIT objective in the provided context is only the BIT document purpose: the Built-In Test and Health Management requirements apply to AeroSys Dynamics platforms, with BIT software developed at DO-178C DAL-B, and DAL-A portions on Stratos-7 and AeroLynx-X2 where BIT feeds DAL-A safety functions [BIT-001].

From the retrieved context, I do not see a specific BIT requirement that traces through a software requirement and logic design into the CDL implementation. The only direct CDL top-level objective shown is that the CDL must provide an encrypted, authenticated, integrity-protected bi-directional link, with command-uplink integrity as the safety-critical path [CDL-003], implemented with per-command authentication and anti-replay/staleness checks via HMAC-SHA-256, sequence number, and timestamp validation [CDL-013].

The downstream design obligation that is explicitly imposed on the system side is defence-in-depth between the internet-facing/BLOS CDL and internal avionics buses, using a dedicated security-partition guard enforcing allowed command types per RBAC and flight phase [SEC-014]. In addition, command validation must be enforced end-to-end: the system must reject commands with invalid range, rate, sequence, or authentication [SEC-008], and the FCC must validate every GCS command against the Command_Validation table without propagating invalid commands to the control laws [FCC-031] [FCC-040].

So, based on the retrieved material, the traceable top-level objective is not a BIT-specific objective beyond BIT document purpose [BIT-001]; the clearly evidenced implementation/design obligation is secure, authenticated, non-propagating command handling across CDL and FCC, plus a security guard partition on the internal boundary [CDL-003] [CDL-013] [SEC-014] [FCC-031] [FCC-040].",False,The answer adds unsupported statements about missing BIT traceability and a generic 'system side' obligation not established by the provided contexts.,True,All claims are directly supported by the provided contexts without adding unsupported details.,,skipped,False
"Can payload sensor health and pointing data reach the GCS with mode-change telemetry within 200 ms, given return-link aggregation and payload status publication rates?",2-hop,graphrag,azure,none,1,8711,1406,355,1761,CDL-027;EMS-010;CDL-011;CDL-010;PLD-020;NAV-010;GCS-018;GCS-006;ADS-002;CDL-015;CDL-030;CDL-031;CDL-038;COMM-006;FCC-009,CDL-027;EMS-010;CDL-011;CDL-010;PLD-020;NAV-010;GCS-018;GCS-006;ADS-002;CDL-015;CDL-030;CDL-031;CDL-038;COMM-006;FCC-009,15,0,,,,,"Not guaranteed by the retrieved requirements.

What the requirements do say:

- The EMS must notify the GCS of any mode change within 200 ms via CDL telemetry, tagged P1 priority [EMS-010].
- That EMS notification is carried over the CDL telemetry interface, which aggregates telemetry contributions and transmits them at 20 Hz on the return link [EMS-010] [CDL-031].
- Payload status, including per-sensor health and pointing, is published by the PMC at 2 Hz to the GCS/CDL path [PLD-020] [CDL-031].

Implication:

- A mode-change message can meet the 200 ms requirement because EMS-010 explicitly requires it [EMS-010], and CDL provides the telemetry transport path [CDL-031].
- Payload sensor health and pointing data are only required to be published at 2 Hz, i.e. every 500 ms [PLD-020]. Therefore, they are not required to be contemporaneous with the mode-change indication within 200 ms.

So, if the question is whether payload health/pointing can be expected to reach the GCS within the same 200 ms window as the mode-change telemetry, the retrieved requirements do not support that. The limiting requirement is the 2 Hz payload publication rate [PLD-020], even though the return link itself transmits aggregated telemetry at 20 Hz [CDL-031].

Also, no retrieved requirement states that mode-change telemetry triggers an immediate payload-status update or that CDL prioritizes PLD_STATUS_MSG alongside the P1 EMS notification. So I cannot claim such co-delivery from the provided context [EMS-010] [PLD-020] [CDL-031].",True,"All claims are supported by EMS-010, CDL-031, and PLD-020, and the conclusion is a valid inference from the 2 Hz payload publication rate versus the 200 ms mode-change requirement.",True,"All claims are directly supported by the provided requirements regarding notification latencies and publication rates, and do not add unsupported assertion.",,skipped,True
Which avionics processing requirement traces through the security and built-in test specifications to the inspection criterion it ultimately satisfies?,3+-hop,adaptive,azure,none,0,7940,1508,296,1804,SEC-035;BIT-040;BIT-001;BIT-003;SEC-014;SEC-028;SEC-011;STR-010;BIT-006;BIT-039;EMS-019;EMS-021;EMS-032;EMS-033;ENG-037,SEC-035;BIT-040;BIT-001;BIT-003;SEC-014;SEC-028;SEC-011;STR-010;BIT-006;BIT-039;EMS-019;EMS-021;EMS-032;EMS-033;ENG-037,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,"The traced avionics-processing requirement is **[ENG-037]**:

- **FCC avionics-processing requirement:** the FCC shall verify the **FADEC/ECU software CRC or part number** in each status frame against the expected loaded configuration, and flag **CONFIG_MISMATCH** on a difference [ENG-037].
- **Security extension:** this verification is **extended to all flight-critical LRUs** at power-on, checking installed software **CRC or hash** against an authenticated baseline [SEC-035]. That requirement explicitly **satisfies [ENG-037]**.
- **BIT inspection/test criterion:** BIT requires PBIT to test **non-volatile-memory integrity (CRC)** and other LRU resources with single-bit error detection coverage [BIT-006], and the required LRU-class coverage is defined in the table, including **INS/GPS/ADS** and **FCC** classes [BIT-039]. The inspection/verification criterion is then given by the BIT test requirement: **fault injection** on flight-configuration hardware must demonstrate PBIT coverage per fault class **≥ 99 %** [BIT-040].

So the chain is:

**[ENG-037] → [SEC-035] → [BIT-006]/[BIT-039] → verified by [BIT-040]**

If you meant a different “inspection criterion” than the BIT verification requirement, the provided context does not contain another explicit inspection artifact.",False,"The answer adds an unsupported trace from ENG-037/SEC-035 to BIT-006, BIT-039, and BIT-040 and cites ENG-037 directly despite it not being a retrieved chunk ID.",True,"Every claim in the answer is supported by the retrieved contexts, including requirement trace, test details, and relevant requirement references.",,skipped,False
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",2-hop,adaptive,azure,none,1,25257,4851,974,5825,EPS-007;EPS-011;EPS-006;EPS-012,EPS-007;EPS-012;EPS-011;EPS-006;EPS-001;FCC-011;FCC-006;FCC-012;FCC-005;FCC-009,10,2,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=True)","From the retrieved requirements, I can only answer the EPS-side portions partially; the specific SoC **data path** and **update rate** for critical-battery RTB are **not present** in the provided context.

What the context does establish is:

- EPS monitors battery SoC during **BATT_ONLY** and uses it to drive staged load shedding:
  - below **40 %** → `LOAD_SHED_1`
  - below **20 %** → `LOAD_SHED_2`
  - below **10 %** → `LOAD_SHED_3`
  - each threshold has a **5 s dwell** to avoid oscillation [EPS-007].

- Entry into **BATT_ONLY** is triggered if:
  - **APU start fails within 30 s of command**, or
  - **APU self-shutdown** occurs,
  and on that declaration the EPS shall **issue RTB to AUTO** [EPS-011].

- On transition to **BATT_ONLY**, EPS must reconfigure the buses by:
  - opening all non-essential bus ties,
  - closing the battery-to-emergency-bus tie,
  - retaining only **P1+P2 loads** [EPS-006].

- Separately, if **any generator faults** and **battery SoC < 60 %**, EPS shall open the **DC-TIE** between essential and secondary buses within **50 ms** to preserve battery for essential loads [EPS-012].

So, regarding your two parts:

1. **SoC data path and update rate supporting critical-battery RTB**  
   - **Not specified in the retrieved requirements.**
   - I do not see any requirement defining which LRU/source provides SoC to RTB logic, nor any required sampling/update frequency, latency, or message transport.

2. **How SoC monitoring relates to mode-entry constraints**  
   - SoC is clearly used by EPS for **power-management decisions** in battery-only operation: staged load shedding with 5 s dwell [EPS-007] and bus isolation when generator fault coincides with **SoC < 60 %** [EPS-012].
   - **BATT_ONLY mode entry itself**, however, is driven by **APU failure/self-shutdown conditions**, not by an SoC threshold [EPS-011].
   - After BATT_ONLY entry, EPS immediately constrains the power configuration to emergency-retained loads only [EPS-006], and then SoC monitoring governs further conservation actions [EPS-007], [EPS-012].

In short: the provided requirements show that **SoC constrains EPS power reconfiguration and load shedding after or during degraded power conditions**, but they do **not** define the SoC telemetry path/update rate, and they do **not** make SoC a direct criterion for entry into **BATT_ONLY** [EPS-006] [EPS-007] [EPS-011] [EPS-012].",False,"It adds unsupported claims about a critical-battery RTB SoC data path/update rate and says SoC is not a direct BATT_ONLY entry criterion, which EPS-012 qualifies.",True,"The answer accurately restricts itself to information present in the retrieved contexts, correctly stating what is and is not specified regarding SoC data path, update rate, and how SoC monitoring rel",,skipped,False
