query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,n_cited,n_gold,hop_count,stratum,is_cross_module
What INS 1-sigma attitude accuracy values define the navigation fusion residual threshold for dual-INS arbitration in GPS-aided cruise and turning?,1-hop,agentic-graph,azure,none,0,19874,7095,645,7740,INS-021;NAV-013,NAV-013;NAV-008;NAV-015;NAV-028;NAV-002;ADS-017;STR7-ADS-001;SKT1-ADS-001;ADS-014;ADS-008;FCC-024;FCC-017;NBC3-FCC-004;FCC-032;FCC-016,15,3,continue,semantic,,,1.0,1.0,1.0,0.5,2,2,1,1-hop,True
What INS 1-sigma attitude accuracy values define the navigation fusion residual threshold for dual-INS arbitration in GPS-aided cruise and turning?,1-hop,adaptive,azure,none,0,16189,3727,577,4304,INS-021;NAV-013,NAV-013;NAV-008;NAV-015;NAV-028;NAV-002,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=2, trace_kw=False, chain_ind=False, numeric=True)",1.0,1.0,1.0,0.5,2,2,1,1-hop,True
What upstream GNSS timing output and interfaces justify the navigation fusion function’s 1 Hz bus time-synchronisation service and GPS-derived accuracy source?,1-hop,vanilla,azure,none,0,3655,490,165,655,NAV-027;GPS-010;NAV-022;INS-037;FCC-034,NAV-027;GPS-010;NAV-022;INS-037;FCC-034,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
What upstream GNSS timing output and interfaces justify the navigation fusion function’s 1 Hz bus time-synchronisation service and GPS-derived accuracy source?,1-hop,agentic,azure,none,0,11983,2376,572,2948,GPS-010;GPS-028;NAV-027,GPS-010;GPS-013;GPS-012;NBC3-GPS-002;GPS-028;NAV-027;NAV-022;NAV-019;NAV-020;NAV-011,10,0,sufficient,semantic,,,0.6667,1.0,0.8,1.0,3,2,1,1-hop,True
What upstream GNSS timing output and interfaces justify the navigation fusion function’s 1 Hz bus time-synchronisation service and GPS-derived accuracy source?,1-hop,graphrag,azure,none,0,6445,1273,292,1565,NAV-027;GPS-010;NAV-022;INS-037;FCC-034;PLD-019;NAV-011;NAV-021;DLNK-007;FDR-004;GCS-020;GPS-020;GPS-028;INS-019;INS-038,NAV-027;GPS-010;NAV-022;INS-037;FCC-034;PLD-019;NAV-011;NAV-021;DLNK-007;FDR-004;GCS-020;GPS-020;GPS-028;INS-019;INS-038,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
What upstream GNSS timing output and interfaces justify the navigation fusion function’s 1 Hz bus time-synchronisation service and GPS-derived accuracy source?,1-hop,agentic-graph,azure,none,0,10697,2679,469,3148,GPS-010;GPS-028;NAV-027,GPS-010;GPS-012;GPS-013;NBC3-GPS-002;GPS-028;NAV-027;NAV-022;NAV-019;NAV-020;NAV-011,10,0,sufficient,semantic,,,0.6667,1.0,0.8,1.0,3,2,1,1-hop,True
What upstream GNSS timing output and interfaces justify the navigation fusion function’s 1 Hz bus time-synchronisation service and GPS-derived accuracy source?,1-hop,adaptive,azure,none,0,5173,490,264,754,NAV-027;GPS-010;NAV-022;INS-037;FCC-034,NAV-027;GPS-010;NAV-022;INS-037;FCC-034,5,0,,,vanilla,R5: numeric_hint + single_module (GPS) → top-K,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,vanilla,azure,none,0,5023,514,255,769,EMS-032;APM-032;EMS-031;PWR-015;BIT-036,EMS-032;APM-032;EMS-031;PWR-015;BIT-036,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,agentic,azure,none,0,15127,3763,551,4314,EPS-020;EPS-016,EPS-020;EPS-016;EPS-004;EPS-008;EPS-005,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,2,2,1,1-hop,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,graphrag,azure,none,0,3665,1856,119,1975,EMS-032;APM-032;EMS-031;PWR-015;BIT-036;NAV-010;COMM-024;PWR-026;ADS-002;APM-004;APM-034;BIT-040;CDL-005;ENG-040;FCC-050,EMS-032;APM-032;EMS-031;PWR-015;BIT-036;NAV-010;COMM-024;PWR-026;ADS-002;APM-004;APM-034;BIT-040;CDL-005;ENG-040;FCC-050,15,0,,,,,0.0667,0.5,0.1176,0.5,15,2,1,1-hop,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,agentic-graph,azure,none,0,15304,4390,535,4925,EPS-020;EPS-016;EPS-004,EPS-020;EPS-016;EPS-004;EPS-008;EPS-005,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,3,2,1,1-hop,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,adaptive,azure,none,0,14920,3772,499,4271,EPS-020;EPS-016,EPS-020;EPS-016;EPS-004;EPS-008;EPS-005,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",0.0,0.0,0.0,0.0,2,2,1,1-hop,True
Which power requirement provides the FCC’s hold-up energy basis for maintaining uninterrupted inner-loop operation through a 50 ms primary power interruption?,1-hop,vanilla,azure,none,0,3911,562,205,767,FCC-036;PWR-013;PWR-018;CDL-025;INS-035,FCC-036;PWR-013;PWR-018;CDL-025;INS-035,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Which power requirement provides the FCC’s hold-up energy basis for maintaining uninterrupted inner-loop operation through a 50 ms primary power interruption?,1-hop,agentic,azure,none,0,14546,3546,427,3973,EPS-012,EPS-012;EPS-015;EPS-005;EPS-006;EPS-007,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,1,2,1,1-hop,True
Which power requirement provides the FCC’s hold-up energy basis for maintaining uninterrupted inner-loop operation through a 50 ms primary power interruption?,1-hop,graphrag,azure,none,0,4343,1282,160,1442,FCC-036;PWR-013;PWR-018;CDL-025;INS-035;PLD-028;FCC-045;NAV-026;EMS-029;FCC-055;GPS-026;INS-046;PWR-008;PWR-035,FCC-036;PWR-013;PWR-018;CDL-025;INS-035;PLD-028;FCC-045;NAV-026;EMS-029;FCC-055;GPS-026;INS-046;PWR-008;PWR-035,14,0,,,,,0.1429,1.0,0.25,1.0,14,2,1,1-hop,True
Which power requirement provides the FCC’s hold-up energy basis for maintaining uninterrupted inner-loop operation through a 50 ms primary power interruption?,1-hop,agentic-graph,azure,none,0,9885,3289,294,3583,PWR-018;FCC-036,FCC-036;FCC-045;FCC-013;FCC-055;FCC-028;PWR-013;PWR-018,7,0,sufficient,semantic,,,1.0,1.0,1.0,1.0,2,2,1,1-hop,True
Which power requirement provides the FCC’s hold-up energy basis for maintaining uninterrupted inner-loop operation through a 50 ms primary power interruption?,1-hop,adaptive,azure,none,0,3273,562,138,700,FCC-036;PWR-013;PWR-018;CDL-025;INS-035,FCC-036;PWR-013;PWR-018;CDL-025;INS-035,5,0,,,vanilla,R5: numeric_hint + single_module (FCC) → top-K,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Which tactical datalink verification requirement demonstrates coordinated flight-plan separation compliance for coalition multi-aircraft FMS operation?,1-hop,vanilla,azure,none,0,2453,548,107,655,ALX2-FMS-001;DLNK-025;FMS-022;SEC-022;FDR-012,ALX2-FMS-001;DLNK-025;FMS-022;SEC-022;FDR-012,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Which tactical datalink verification requirement demonstrates coordinated flight-plan separation compliance for coalition multi-aircraft FMS operation?,1-hop,agentic,azure,none,0,13418,4457,460,4917,DLNK-025;FMS-001,ALX2-FMS-001;DLNK-025;FMS-022;SEC-022;FDR-012;HMI-037;PLD-015;GCS-011;DLNK-001;COMM-012,10,3,continue,semantic,,,0.5,0.5,0.5,1.0,2,2,1,1-hop,True
Which tactical datalink verification requirement demonstrates coordinated flight-plan separation compliance for coalition multi-aircraft FMS operation?,1-hop,graphrag,azure,none,0,3277,1426,94,1520,ALX2-FMS-001;DLNK-025;FMS-022;SEC-022;FDR-012;HMI-037;PLD-015;GCS-011;CDL-030;CDL-040;DLNK-009;FMS-001;FMS-012;FMS-035;HMI-210,ALX2-FMS-001;DLNK-025;FMS-022;SEC-022;FDR-012;HMI-037;PLD-015;GCS-011;CDL-030;CDL-040;DLNK-009;FMS-001;FMS-012;FMS-035;HMI-210,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
Which tactical datalink verification requirement demonstrates coordinated flight-plan separation compliance for coalition multi-aircraft FMS operation?,1-hop,agentic-graph,azure,none,0,12948,4259,360,4619,DLNK-025;FMS-001,ALX2-FMS-001;DLNK-025;FMS-022;SEC-022;FDR-012,5,3,continue,semantic,,,0.5,0.5,0.5,1.0,2,2,1,1-hop,True
Which tactical datalink verification requirement demonstrates coordinated flight-plan separation compliance for coalition multi-aircraft FMS operation?,1-hop,adaptive,azure,none,0,2502,548,96,644,ALX2-FMS-001;DLNK-025;FMS-022;SEC-022;FDR-012,ALX2-FMS-001;DLNK-025;FMS-022;SEC-022;FDR-012,5,0,,,vanilla,R5: numeric_hint + single_module (FMS) → top-K,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
"What message definition table governs the 1 Hz primary-bus APM status broadcast, and what fields must that status message contain?",1-hop,vanilla,azure,none,0,4866,1184,374,1558,APM-032;APM-034;EPS-020;FUEL-024;PLD-032,APM-032;APM-034;EPS-020;FUEL-024;PLD-032,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,False
"What message definition table governs the 1 Hz primary-bus APM status broadcast, and what fields must that status message contain?",1-hop,agentic,azure,none,0,20336,3219,665,3884,APM-034;APM-032,APM-032;APM-034;EPS-020;ADS-020;FUEL-024,5,1,sufficient,semantic,,,1.0,1.0,1.0,1.0,2,2,1,1-hop,False
"What message definition table governs the 1 Hz primary-bus APM status broadcast, and what fields must that status message contain?",1-hop,graphrag,azure,none,0,6335,2631,385,3016,APM-032;APM-034;EPS-020;FUEL-024;PLD-032;TCS-023;ENG-038;EMS-031;ENG-020;FDR-016;ADS-020;AUTO-031;BIT-036;CDL-029;FCC-038,APM-032;APM-034;EPS-020;FUEL-024;PLD-032;TCS-023;ENG-038;EMS-031;ENG-020;FDR-016;ADS-020;AUTO-031;BIT-036;CDL-029;FCC-038,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,False
"What message definition table governs the 1 Hz primary-bus APM status broadcast, and what fields must that status message contain?",1-hop,agentic-graph,azure,none,0,10034,2660,479,3139,APM-034;APM-032,APM-032;APM-034;EPS-020;ADS-020;FUEL-024,5,0,sufficient,semantic,,,1.0,1.0,1.0,1.0,2,2,1,1-hop,False
"What message definition table governs the 1 Hz primary-bus APM status broadcast, and what fields must that status message contain?",1-hop,adaptive,azure,none,0,5793,1184,412,1596,APM-032;APM-034;EPS-020;FUEL-024;PLD-032,APM-032;APM-034;EPS-020;FUEL-024;PLD-032,5,0,,,vanilla,R5: numeric_hint + single_module (APM) → top-K,0.4,1.0,0.5714,1.0,5,2,1,1-hop,False
What verification evidence demonstrates the navigation solution’s 5 ms end-to-end publish-latency requirement at 200 Hz is met?,1-hop,vanilla,azure,none,0,4903,543,258,801,INS-053;ENG-041;NAV-010;GCS-037;CDL-038,INS-053;ENG-041;NAV-010;GCS-037;CDL-038,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,False
What verification evidence demonstrates the navigation solution’s 5 ms end-to-end publish-latency requirement at 200 Hz is met?,1-hop,agentic,azure,none,0,17663,3707,607,4314,NAV-010;NAV-034;NAV-035;NAV-027,NAV-010;NAV-006;NAV-034;NAV-035;NAV-027,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,4,2,1,1-hop,False
What verification evidence demonstrates the navigation solution’s 5 ms end-to-end publish-latency requirement at 200 Hz is met?,1-hop,graphrag,azure,none,0,9165,1352,378,1730,INS-053;ENG-041;NAV-010;GCS-037;CDL-038;AUTO-011;CDL-011;FMS-041;ADS-002;COMM-006;ENG-010;FCC-014;FMS-007;FMS-012;GCS-006,INS-053;ENG-041;NAV-010;GCS-037;CDL-038;AUTO-011;CDL-011;FMS-041;ADS-002;COMM-006;ENG-010;FCC-014;FMS-007;FMS-012;GCS-006,15,0,,,,,0.0667,0.5,0.1176,0.5,15,2,1,1-hop,False
What verification evidence demonstrates the navigation solution’s 5 ms end-to-end publish-latency requirement at 200 Hz is met?,1-hop,agentic-graph,azure,none,0,16387,4223,576,4799,NAV-010;NAV-034;NAV-035;NAV-027,NAV-010;NAV-006;NAV-034;NAV-035;NAV-027,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,4,2,1,1-hop,False
What verification evidence demonstrates the navigation solution’s 5 ms end-to-end publish-latency requirement at 200 Hz is met?,1-hop,adaptive,azure,none,0,14604,3608,466,4074,NAV-010;NAV-034;NAV-035,NAV-010;NAV-006;NAV-034;NAV-027;NAV-035,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",0.0,0.0,0.0,0.0,3,2,1,1-hop,False
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",1-hop,vanilla,azure,none,0,3102,525,118,643,INS-022;STR7-INS-002;INS-021;INS-009;NBC3-INS-001,INS-022;STR7-INS-002;INS-021;INS-009;NBC3-INS-001,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,False
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",1-hop,agentic,azure,none,0,15200,3598,504,4102,NAV-001;NAV-007;NAV-008;NAV-015,SKT1-NAV-001;NAV-016;NAV-007;NAV-008;NAV-015,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,4,2,1,1-hop,False
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",1-hop,graphrag,azure,none,0,3894,1341,124,1465,INS-022;STR7-INS-002;INS-021;INS-009;NBC3-INS-001;INS-011;GPS-011;SKT1-NAV-001;FCC-043;GPS-012;GPS-013;GPS-015;INS-001;INS-036;INS-054,INS-022;STR7-INS-002;INS-021;INS-009;NBC3-INS-001;INS-011;GPS-011;SKT1-NAV-001;FCC-043;GPS-012;GPS-013;GPS-015;INS-001;INS-036;INS-054,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,False
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",1-hop,agentic-graph,azure,none,0,13919,4183,413,4596,NAV-001,SKT1-NAV-001;NAV-007;NAV-016;NAV-008;NAV-015,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,1,2,1,1-hop,False
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",1-hop,adaptive,azure,none,0,15051,3540,475,4015,NAV-001;NAV-007;NAV-008;NAV-015,SKT1-NAV-001;NAV-016;NAV-007;NAV-008;NAV-015,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=3, trace_kw=False, chain_ind=False, numeric=True)",0.0,0.0,0.0,0.0,4,2,1,1-hop,False
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,1-hop,vanilla,azure,none,0,2860,530,119,649,PWR-015;FDR-001;FDR-005;FDR-028;FDR-030,PWR-015;FDR-001;FDR-005;FDR-028;FDR-030,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,1-hop,agentic,azure,none,0,15979,4591,554,5145,EPS-016;EPS-020;FDR-028,EPS-016;EPS-020;EPS-023;EPS-022;EPS-008;ICE-016;ICE-018;ICE-014;ICE-017;ICE-008,10,3,continue,semantic,,,0.3333,0.5,0.4,0.0,3,2,1,1-hop,True
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,1-hop,graphrag,azure,none,0,4502,1522,176,1698,PWR-015;FDR-001;FDR-005;FDR-028;FDR-030;PWR-026;FDR-022;FDR-008;APM-023;APM-030;BIT-002;EPS-016;FCC-012;FCC-047;FDR-016,PWR-015;FDR-001;FDR-005;FDR-028;FDR-030;PWR-026;FDR-022;FDR-008;APM-023;APM-030;BIT-002;EPS-016;FCC-012;FCC-047;FDR-016,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,1-hop,agentic-graph,azure,none,0,18939,5187,503,5690,GCS-060;FDR-028;EPS-016;EPS-020,EPS-016;EPS-020;EPS-023;EPS-001;EPS-025,5,3,continue,semantic,,,0.25,0.5,0.3333,0.0,4,2,1,1-hop,True
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,1-hop,adaptive,azure,none,0,4218,1522,135,1657,PWR-015;FDR-001;FDR-005;FDR-028;FDR-030;PWR-026;FDR-022;FDR-008;APM-023;APM-030;BIT-002;EPS-016;FCC-012;FCC-047;FDR-016,PWR-015;FDR-001;FDR-005;FDR-028;FDR-030;PWR-026;FDR-022;FDR-008;APM-023;APM-030;BIT-002;EPS-016;FCC-012;FCC-047;FDR-016,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
What autopilot DAA advisory behavior must be available for presentation as traffic on the navigation display?,1-hop,vanilla,azure,none,0,6237,547,339,886,AUTO-020;GCS-017;HMI-005;RADAR-017;NBC3-AUTO-002,AUTO-020;GCS-017;HMI-005;RADAR-017;NBC3-AUTO-002,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
What autopilot DAA advisory behavior must be available for presentation as traffic on the navigation display?,1-hop,agentic,azure,none,0,19431,5135,638,5773,AUTO-020;HMI-005,AUTO-020;GCS-017;RADAR-017;NBC3-AUTO-002;AUTO-021;HMI-060;AUTO-027;HMI-005;AUTO-006;AUTO-038,10,3,continue,semantic,,,1.0,1.0,1.0,1.0,2,2,1,1-hop,True
What autopilot DAA advisory behavior must be available for presentation as traffic on the navigation display?,1-hop,graphrag,azure,none,0,7459,1539,330,1869,AUTO-020;GCS-017;HMI-005;RADAR-017;NBC3-AUTO-002;AUTO-021;AUTO-006;AUTO-007;AUTO-005;AUTO-022;AUTO-027;AUTO-035;AUTO-038;CDL-030;DLNK-009,AUTO-020;GCS-017;HMI-005;RADAR-017;NBC3-AUTO-002;AUTO-021;AUTO-006;AUTO-007;AUTO-005;AUTO-022;AUTO-027;AUTO-035;AUTO-038;CDL-030;DLNK-009,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
What autopilot DAA advisory behavior must be available for presentation as traffic on the navigation display?,1-hop,agentic-graph,azure,none,0,19546,6089,513,6602,NAV-002;NAV-009;ADS-014;NAV-017,NAV-017;NAV-009;NAV-002;NAV-C5;NAV-005;ADS-017;ADS-001;ADS-014;ADS-026;SKT1-ADS-001,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,4,2,1,1-hop,True
What autopilot DAA advisory behavior must be available for presentation as traffic on the navigation display?,1-hop,adaptive,azure,none,0,14842,3555,458,4013,AUTO-020;GCS-017,AUTO-020;GCS-017;RADAR-017;NBC3-AUTO-002;AUTO-021,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=False)",0.5,0.5,0.5,0.5,2,2,1,1-hop,True
How must the FCC’s 10 Hz background BIT scheduling preserve compliance with the inner-loop 200 Hz jitter requirement?,1-hop,vanilla,azure,none,0,5729,526,294,820,FCC-015;FCC-013;FCC-014;BIT-007;FCC-025,FCC-015;FCC-013;FCC-014;BIT-007;FCC-025,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,False
How must the FCC’s 10 Hz background BIT scheduling preserve compliance with the inner-loop 200 Hz jitter requirement?,1-hop,agentic,azure,none,0,16081,4454,534,4988,FCC-015;FCC-013,FCC-015;FCC-013;FCC-014;FCC-036;FCC-047;FCC-013;FCC-015;FCC-014;FCC-025;FCC-027,7,3,continue,semantic,,,1.0,1.0,1.0,1.0,2,2,1,1-hop,False
How must the FCC’s 10 Hz background BIT scheduling preserve compliance with the inner-loop 200 Hz jitter requirement?,1-hop,graphrag,azure,none,0,6165,1441,240,1681,FCC-015;FCC-013;FCC-014;BIT-007;FCC-025;FCC-047;BIT-023;BIT-008;AUTO-002;AUTO-011;AUTO-025;FCC-019;FCC-038;FCC-046;FCC-052,FCC-015;FCC-013;FCC-014;BIT-007;FCC-025;FCC-047;BIT-023;BIT-008;AUTO-002;AUTO-011;AUTO-025;FCC-019;FCC-038;FCC-046;FCC-052,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,False
How must the FCC’s 10 Hz background BIT scheduling preserve compliance with the inner-loop 200 Hz jitter requirement?,1-hop,agentic-graph,azure,none,0,16146,5113,548,5661,FCC-015;FCC-013,FCC-015;FCC-013;FCC-014;FCC-047;FCC-006;FCC-013;FCC-014;FCC-015;FCC-036;FCC-025,7,3,continue,semantic,,,1.0,1.0,1.0,1.0,2,2,1,1-hop,False
How must the FCC’s 10 Hz background BIT scheduling preserve compliance with the inner-loop 200 Hz jitter requirement?,1-hop,adaptive,azure,none,0,16382,4562,645,5207,FCC-015;FCC-013;FCC-014,FCC-015;FCC-013;FCC-014;FCC-036;FCC-025;FCC-013;FCC-014;FCC-015;FCC-025;FCC-036,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=2, trace_kw=False, chain_ind=False, numeric=True)",0.6667,1.0,0.8,1.0,3,2,1,1-hop,False
What published payload status data must the flight data recorder timestamp and log for sensor and external-store events?,1-hop,vanilla,azure,none,0,3783,525,150,675,INS-039;FDR-022;FDR-040;FCC-012;GCS-010,INS-039;FDR-022;FDR-040;FCC-012;GCS-010,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
What published payload status data must the flight data recorder timestamp and log for sensor and external-store events?,1-hop,agentic,azure,none,0,14955,3532,406,3938,FDR-040;PLD-020,INS-039;FDR-002;FDR-040;FCC-012;PLD-021,5,3,continue,semantic,,,1.0,1.0,1.0,0.5,2,2,1,1-hop,True
What published payload status data must the flight data recorder timestamp and log for sensor and external-store events?,1-hop,graphrag,azure,none,0,6650,1615,326,1941,INS-039;FDR-022;FDR-040;FCC-012;GCS-010;NBC3-GPS-002;FDR-008;FDR-020;FCC-037;FDR-045;PLD-020;STR7-PLD-001;CDL-031;EMS-008;FCC-005,INS-039;FDR-022;FDR-040;FCC-012;GCS-010;NBC3-GPS-002;FDR-008;FDR-020;FCC-037;FDR-045;PLD-020;STR7-PLD-001;CDL-031;EMS-008;FCC-005,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
What published payload status data must the flight data recorder timestamp and log for sensor and external-store events?,1-hop,agentic-graph,azure,none,0,14454,4221,450,4671,FDR-040;PLD-020,INS-039;FDR-002;FDR-040;FCC-012;PLD-021,5,3,continue,semantic,,,1.0,1.0,1.0,0.5,2,2,1,1-hop,True
What published payload status data must the flight data recorder timestamp and log for sensor and external-store events?,1-hop,adaptive,azure,none,0,17640,3721,647,4368,FDR-040;PLD-021;GCS-010;FDR-002,FDR-002;INS-039;FDR-040;PLD-021;GCS-010,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=False)",0.25,0.5,0.3333,0.5,4,2,1,1-hop,True
Which flight data recorder requirement captures APM battery/APU data around fault transitions to support the APU health exceedance shutdown logging requirement?,1-hop,vanilla,azure,none,0,3270,519,158,677,FDR-030;APM-023;APM-008;EPS-011;APM-021,FDR-030;APM-023;APM-008;EPS-011;APM-021,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Which flight data recorder requirement captures APM battery/APU data around fault transitions to support the APU health exceedance shutdown logging requirement?,1-hop,agentic,azure,none,0,13933,3628,424,4052,FDR-030;APM-023;APM-030,FDR-030;APM-023;APM-021;APM-008;APM-030,5,3,continue,semantic,,,0.6667,1.0,0.8,1.0,3,2,1,1-hop,True
Which flight data recorder requirement captures APM battery/APU data around fault transitions to support the APU health exceedance shutdown logging requirement?,1-hop,graphrag,azure,none,0,4563,1412,190,1602,FDR-030;APM-023;APM-008;EPS-011;APM-021;APM-022;APM-030;FUEL-020;APM-020;APM-036;AUTO-022;BIT-025;EPS-024;FMS-034;APM-009,FDR-030;APM-023;APM-008;EPS-011;APM-021;APM-022;APM-030;FUEL-020;APM-020;APM-036;AUTO-022;BIT-025;EPS-024;FMS-034;APM-009,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
Which flight data recorder requirement captures APM battery/APU data around fault transitions to support the APU health exceedance shutdown logging requirement?,1-hop,agentic-graph,azure,none,0,14024,4282,424,4706,FDR-030;APM-023,APM-023;FDR-030;APM-030;APM-021;APM-008,5,3,continue,semantic,,,1.0,1.0,1.0,1.0,2,2,1,1-hop,True
Which flight data recorder requirement captures APM battery/APU data around fault transitions to support the APU health exceedance shutdown logging requirement?,1-hop,adaptive,azure,none,0,14538,3662,460,4122,FDR-030;APM-023,FDR-030;APM-023;APM-021;APM-008;APM-030,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=1, trace_kw=False, chain_ind=False, numeric=False)",1.0,1.0,1.0,1.0,2,2,1,1-hop,True
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,1-hop,vanilla,azure,none,0,4399,523,221,744,FCC-015;FCC-014;FCC-013;FCC-025;AUTO-011,FCC-015;FCC-014;FCC-013;FCC-025;AUTO-011,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,False
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,1-hop,agentic,azure,none,0,15260,4635,600,5235,FCC-015;FCC-014;FCC-013,FCC-015;FCC-014;FCC-013;FCC-025;FCC-036;FCC-014;FCC-013;FCC-015;FCC-023;FCC-025,6,3,continue,semantic,,,0.6667,1.0,0.8,1.0,3,2,1,1-hop,False
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,1-hop,graphrag,azure,none,0,5128,1670,248,1918,FCC-015;FCC-014;FCC-013;FCC-025;AUTO-011;FCC-027;FCC-036;ENG-010;AUTO-002;AUTO-025;ENG-041;FCC-002;FCC-038;FCC-039;FCC-052,FCC-015;FCC-014;FCC-013;FCC-025;AUTO-011;FCC-027;FCC-036;ENG-010;AUTO-002;AUTO-025;ENG-041;FCC-002;FCC-038;FCC-039;FCC-052,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,False
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,1-hop,agentic-graph,azure,none,0,16677,5094,616,5710,FCC-015;FCC-014;FCC-013,FCC-014;FCC-015;FCC-013;FCC-025;FCC-027;FCC-014;FCC-013;FCC-015;FCC-025;FCC-023,6,3,continue,semantic,,,0.6667,1.0,0.8,1.0,3,2,1,1-hop,False
